#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      354.0   457.8   148.8   208.6   224.1   324.3   382.2   414.8   436.8   462.3   494.2   543.3   672.8  2130.9 15876.7  30244.7    30185  1715443896108  1715443906223
read      351.2   228.7   160.7   214.1   229.8   326.5   381.7   412.8   434.1   458.2   487.4   532.4   653.4  1558.8 10942.5  30115.8    30190  1715443907733  1715443917850
read      352.1   228.1   148.8   210.0   225.1   327.7   386.1   417.3   438.1   461.9   491.4   537.4   660.5  2076.5  9333.9  30135.0    30195  1715443919359  1715443929476
read      349.5   226.7   148.8   208.9   224.2   324.7   380.6   412.0   433.7   458.7   489.1   535.4   661.2  2044.5  8485.1  30310.7    30200  1715443930986  1715443941103
read      350.8   234.8   148.8   210.0   224.9   325.8   383.0   414.5   435.7   459.8   489.0   533.8   657.1  2355.3  9213.0  30185.4    30205  1715443942612  1715443952730
read      350.8   210.8   148.8   211.7   226.4   327.6   385.4   416.8   437.7   461.5   490.3   533.4   646.3  1822.5  9478.0  30154.0    30210  1715443954237  1715443964352
read      349.9   203.0   160.7   213.0   227.5   327.1   383.2   413.8   434.4   458.3   486.9   530.1   643.8  1737.2  8304.6  30204.5    30215  1715443965861  1715443975987
read      349.1   197.5   148.8   212.6   227.2   326.6   382.4   412.9   433.8   457.7   486.5   531.0   644.7  1503.5  8127.3  30294.2    30220  1715443977497  1715443987611
read      339.3   199.7   148.8   208.1   222.4   316.9   368.2   398.2   420.1   444.4   472.2   517.3   632.8  1414.9  8612.0  30297.4    30225  1715443989122  1715443999244
read      351.1   215.8   148.8   212.0   226.8   328.0   383.6   414.2   435.1   459.1   488.0   532.2   654.6  1804.8  8780.3  30183.8    30230  1715444000753  1715444010874
read      347.3   190.3   148.8   213.6   228.1   327.0   379.5   408.6   429.9   453.9   482.4   526.1   635.4  1168.9  8199.7  30255.6    30235  1715444012383  1715444022511
read      350.5   219.7   148.8   211.1   225.8   325.6   382.0   413.7   435.2   459.5   489.4   535.5   662.5  2200.3  8647.4  30194.9    30240  1715444024020  1715444034146
read      346.8   206.8   160.7   211.1   225.6   325.2   380.2   409.9   430.3   453.5   480.7   522.0   630.1  1760.7  8563.6  30221.3    30245  1715444035657  1715444045776
read      348.9   205.7   148.8   211.2   226.0   325.8   381.4   412.0   433.1   457.6   487.5   533.2   644.8  1673.6  8105.0  30208.5    30250  1715444047284  1715444057404
read      350.3   223.2   148.8   210.5   225.4   326.0   382.1   413.2   434.3   458.6   488.2   534.4   661.6  2161.8  8736.4  30158.6    30255  1715444058913  1715444069033
read      345.5   218.3   160.7   209.0   223.6   320.8   375.7   406.9   429.3   454.3   484.3   530.2   645.8  1618.4  9788.7  30279.6    30260  1715444070542  1715444080656
read      345.1   207.4   148.8   211.6   225.8   321.2   375.3   405.7   427.5   451.5   479.8   523.8   636.6  1784.9  8135.9  30284.5    30265  1715444082167  1715444092289
read      346.8   198.2   148.8   209.0   223.9   323.4   379.2   410.6   432.5   457.3   487.2   532.3   641.7  1635.5  8339.2  30241.7    30270  1715444093800  1715444103920
read      345.8   202.7   148.8   208.9   223.7   321.0   373.9   404.4   427.0   452.4   483.5   532.5   675.8  1864.5  8477.1  30252.2    30275  1715444105428  1715444115570
read      350.4   222.6   148.8   211.2   225.9   326.2   383.0   414.2   435.3   459.5   488.9   534.5   655.1  1621.3  9377.9  30328.8    30280  1715444117083  1715444127204
read      347.7   241.6   160.7   210.8   225.3   322.6   378.3   409.0   430.2   454.3   482.9   526.3   638.4  2453.7  9122.6  30164.3    30285  1715444128714  1715444138838
read      346.3   212.5   160.7   212.8   227.0   322.5   377.3   407.0   428.0   451.6   479.4   522.8   636.9  1744.8  8563.4  30226.5    30290  1715444140349  1715444150476
read      349.6   216.7   148.8   211.8   226.4   325.9   382.1   413.0   434.1   458.2   487.2   530.9   643.7  1953.4  8538.4  30350.9    30295  1715444151988  1715444162112
read      349.5   205.5   160.7   211.7   226.6   325.9   382.8   413.7   434.8   458.9   488.4   534.3   649.8  1390.5  8625.3  30349.8    30300  1715444163620  1715444173744
read      346.9   224.4   148.8   211.2   225.8   323.7   379.0   409.2   430.1   453.8   481.9   525.9   634.6  1650.3 10618.6  30325.4    30305  1715444175255  1715444185374
read      340.4   225.4   160.7   210.5   224.5   316.7   368.0   397.1   418.1   441.4   469.3   510.8   626.1  1948.0 10051.9  30323.7    30310  1715444186884  1715444197008
read      347.7   192.4   160.7   211.6   226.3   324.9   381.9   413.2   434.2   457.6   485.9   529.5   640.7  1309.0  8672.0  30179.7    30315  1715444198517  1715444208644
read      350.5   216.9   160.7   215.5   230.3   325.7   381.0   412.3   433.4   457.4   486.3   530.2   646.4  1846.4  8736.0  30167.9    30320  1715444210154  1715444220275
read      352.9   218.8   160.7   212.9   228.2   328.8   385.2   416.6   437.7   462.0   491.4   536.1   656.9  1982.2  9449.1  30315.8    30325  1715444221785  1715444231916
read      351.0   228.2   160.7   212.7   227.3   327.0   383.7   414.5   435.3   458.8   487.1   530.4   640.3  2054.0  8690.2  30305.3    30330  1715444233426  1715444243542
read      348.3   215.9   160.7   213.0   227.2   324.1   380.3   411.1   432.1   455.5   483.2   526.2   639.2  1686.2  9222.0  30335.3    30335  1715444245053  1715444255177
read      350.4   218.3   160.7   212.1   226.7   327.4   383.9   414.0   434.0   457.1   484.8   527.8   641.9  2019.1  8897.8  30235.5    30340  1715444256687  1715444266805
read      348.0   211.1   160.7   210.1   224.9   325.4   380.5   410.5   431.6   455.5   484.5   530.0   642.8  1543.8  9198.6  30354.7    30345  1715444268313  1715444278423
