Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1714938484876
Timestamp end: 1714939385377

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      383.3   528.1   160.7   225.2   241.9   359.6   396.4   414.9   427.5   442.1   462.6   496.2   640.1  7171.0 25303.6   7346.8     7434
read      363.2   208.0   148.8   209.2   222.5   327.7   392.3   429.4   458.6   494.8   541.9   611.3   754.0  2682.9  6086.9  67165.3    67201
read      356.9   232.8   160.7   209.6   223.0   327.1   385.5   418.5   442.9   472.8   515.1   583.0   737.7  2072.5  9915.6  85771.4    85927
read      374.0   332.5   148.8   208.3   221.3   325.1   390.2   430.2   462.7   504.2   558.7   634.7   993.1  3565.2 13394.5  64073.4    63953
read      478.1   606.9   148.8   206.4   219.6   370.9   498.7   571.0   630.0   712.9   810.4   949.3  1473.3  7694.2 30335.0  31630.2    31595
read      423.1   612.4   148.8   212.3   226.5   345.6   405.0   442.0   470.7   509.2   567.2   689.3  1790.3  8556.5 29519.2  87745.4    87879
read      403.2   692.8   160.7   221.9   239.2   359.3   399.4   419.2   432.0   449.3   469.4   508.4  1490.0  9290.6 31368.9   7275.2     7287
read      361.3   208.4   160.7   209.2   222.3   324.9   389.6   428.4   459.4   497.9   546.7   615.1   738.4  2083.5  7988.0  62259.8    62295
read      381.2   487.4   173.5   226.9   245.4   352.1   387.2   404.0   418.1   432.5   453.9   487.1   792.6  8008.0 20106.1   6513.3     6561
read      382.6   237.7   160.7   210.1   223.0   351.2   450.0   486.7   509.4   534.9   564.7   607.1   691.2  2029.8 10108.9  22465.7    22532
read      383.6   250.1   160.7   212.4   225.8   337.2   405.7   448.6   482.0   524.5   579.3   656.9  1021.2  3362.8  7467.2  60597.6    60653
read      391.3   347.8   160.7   212.8   226.1   338.9   408.2   451.9   486.6   531.2   587.6   667.4  1113.3  4205.9 12532.9  59006.4    59076
read      388.5   332.3   160.7   212.8   226.0   338.9   407.9   450.4   484.3   528.1   584.4   665.5  1088.3  3536.2 10365.7  60038.0    60154
read      430.6   450.3   160.7   210.1   223.1   373.0   471.2   517.2   548.4   588.4   649.3   779.3  1155.2  5383.4 16929.5  22986.9    22964
read      413.4   602.2   160.7   221.2   236.6   374.7   419.7   443.2   461.2   483.1   511.8   566.4  1687.0  7307.4 30788.4   8205.0     8172
read      431.9   426.5   160.7   209.8   223.0   355.0   467.4   521.5   559.0   604.1   675.2   832.8  1211.3  5348.2 17754.3  27610.5    27652
read      391.8   263.8   160.7   210.4   223.6   335.1   425.1   481.4   521.2   563.1   610.7   676.3  1045.7  2363.8  8713.1  37592.6    37594
read      433.6   429.2   160.7   209.4   222.5   368.1   473.3   522.9   556.4   597.3   665.0   798.6  1258.1  5008.3 14903.4  24434.4    24367
read      400.8   311.8   160.7   212.1   225.6   341.5   438.5   494.1   531.4   571.6   617.5   682.4  1097.2  3027.1 10271.5  33954.9    33771
read      369.2   247.6   160.7   213.9   227.8   336.1   396.2   430.7   457.1   489.8   534.4   606.2   801.5  2433.2  9436.8  84824.2    84944
