Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715905211509
Timestamp end: 1715906112121

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      357.1   328.4    74.4   125.7   144.9   316.1   405.8   464.8   503.1   541.3   583.5   643.6   952.6  3784.8 12046.1  30908.2    30755
read      372.8   331.2    63.8   128.2   148.2   329.9   416.7   471.3   510.1   553.5   605.3   686.8  1229.3  3774.7 10660.7  43017.8    42889
read      383.3   352.6    68.9   137.9   161.3   333.8   416.5   466.4   505.3   553.9   622.8   733.0  1134.0  4254.6 10625.8  93637.6    93552
read      378.3   353.7    63.8   132.1   152.1   330.6   421.1   476.3   516.8   564.6   623.8   718.8  1175.7  3576.6 11978.2  65759.8    65694
read      355.3   314.9    68.9   125.5   144.7   313.0   402.4   460.6   498.2   535.6   578.0   638.0   978.1  3636.4 11257.6  29583.8    29574
read      375.2   328.5    63.8   131.5   151.7   334.6   423.4   477.0   515.6   559.5   613.3   697.6  1140.0  2770.1 11986.8  51652.6    51355
read      375.2   366.3    68.9   131.8   151.7   327.7   419.4   475.4   516.2   562.5   619.7   710.9  1085.8  3859.7  9392.7  67162.0    67361
read      385.2   574.9    74.4   138.6   160.9   333.7   412.8   454.6   483.7   516.5   566.5   685.9  1182.9  7224.6 30063.8  16321.4    16287
read      381.2   379.9    68.9   135.8   157.4   334.2   419.8   471.9   513.1   564.3   629.5   732.1  1048.7  4382.0 11779.2  81249.6    81508
read      375.0   296.5    68.9   135.5   158.3   330.9   414.0   465.9   505.7   554.8   621.2   722.2  1022.4  3555.9  9300.4  87844.4    87619
read      371.3   378.2    68.9   137.0   160.4   330.1   410.1   458.5   496.1   541.7   604.6   706.7   955.3  3807.7 16374.3  99201.4    99068
