Random waveform, supplied seed
Total number of intervals = 450 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463)
Average QPS expected = 50157
Timestamp start: 1715955132646
Timestamp end: 1715956033387

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      294.4   278.8    74.4   122.8   140.8   281.8   330.0   355.9   373.9   396.2   424.3   466.9   582.1  2951.7 12189.5  13796.0    13840
read      362.8   245.8    68.9   127.3   152.0   331.5   411.6   457.9   491.9   534.9   597.6   701.7   926.2  1751.1 10198.4  93236.5    93419
read      372.5   271.6    68.9   129.3   155.0   337.9   418.4   464.3   499.4   545.7   613.5   724.4   969.9  2859.6  8360.1  98213.5    98284
read      341.1   224.3    63.8   120.2   141.2   313.6   391.3   434.7   466.9   504.8   558.4   643.3   858.6  1924.2  8011.9  71333.0    71313
read      337.5   280.5    68.9   121.4   140.9   317.1   385.6   425.1   454.7   490.0   533.7   602.1   844.6  1844.7  7341.6  41743.5    42089
read      345.9   233.8    63.8   124.5   145.0   325.0   397.6   437.3   467.3   503.4   548.3   622.3   866.9  2003.7  8084.7  46355.5    46458
read      325.4   221.3    68.9   120.4   138.9   307.6   368.3   406.4   436.9   475.9   519.0   581.8   751.1  1733.6  8695.0  30731.5    30755
read      335.4   217.8    68.9   123.5   143.6   318.8   387.3   425.7   455.2   490.6   535.0   598.6   782.6  1692.9  7738.0  43308.0    42889
read      386.8   434.5    68.9   127.7   152.9   337.1   413.6   457.8   492.5   539.0   612.6   737.0  1426.9  6395.2 13472.4  93840.5    93552
read      363.6   307.0    68.9   124.6   146.6   329.7   411.3   454.9   486.3   525.6   578.5   666.7  1001.4  3678.4  8698.1  65624.0    65694
read      342.0   300.6    68.9   120.2   138.6   312.5   377.0   417.4   449.7   488.7   534.0   605.3  1083.6  3701.0 11127.1  29696.0    29574
read      368.3   254.1    68.9   127.7   148.7   340.3   420.9   464.8   497.8   537.8   587.8   668.5  1051.4  2793.5  8432.8  51471.0    51355
read      377.3   425.1    68.9   125.4   147.4   334.8   419.7   466.8   502.8   546.0   601.6   689.7  1073.6  4615.6 12815.1  67105.5    67361
read      366.9   691.0    68.9   124.5   143.1   305.4   377.6   418.5   450.2   491.3   557.8   708.4  1422.2  6688.0 42079.2  16549.0    16287
read      398.4   434.2    68.9   126.6   151.2   334.8   417.2   467.6   508.2   561.2   633.5   766.8  1840.3  4885.6 10076.8  81160.0    81508
read      402.9   418.9    68.9   129.4   155.4   349.8   432.5   479.9   517.2   567.4   640.4   778.3  1576.4  5212.3 10955.0  87926.5    87619
read      409.7   518.1    68.9   132.9   162.0   361.9   444.5   489.3   522.6   567.2   637.2   783.1  1092.0  6762.1 24005.0  98967.5    99068
read      370.9   316.3    68.9   124.8   146.7   336.7   418.6   461.9   493.1   530.1   580.5   672.4  1249.8  2871.5 12633.6  51475.0    51267
read      340.7   450.4    74.4   118.1   136.1   288.5   340.5   372.8   401.5   440.6   504.0   621.7  1939.1  4719.3 15325.8  11754.5    11822
read      413.9   664.2    68.9   129.5   157.4   352.1   429.5   473.4   509.5   560.0   638.0   767.3  1235.1  7451.9 32035.7  97166.0    97494
read      383.6   433.2    68.9   128.3   154.6   337.7   412.5   456.4   491.1   536.9   606.5   720.9  1001.8  6505.9 10484.3  97180.0    97350
read      348.2   274.3    68.9   121.7   142.0   321.8   399.8   443.5   475.8   516.5   566.9   636.9   909.8  2097.5  9690.3  56113.0    55460
read      392.0   414.7    68.9   130.2   154.9   344.3   427.7   477.6   515.5   565.8   636.0   746.6  1246.5  4371.2 13657.6  85642.5    85984
read      388.5   405.8    68.9   127.6   150.7   339.9   422.5   471.7   510.4   559.1   628.0   742.8  1207.7  4350.9 13518.8  82068.0    82043
read      371.5   397.4    68.9   124.4   144.8   330.6   411.3   456.5   491.7   535.1   588.6   673.7  1344.1  4480.7 16457.6  52841.0    52873
read      360.8   527.2    74.4   126.2   146.6   317.2   382.8   420.3   449.9   486.7   541.3   647.7  1050.6  6093.0 30263.4  14076.5    13911
