#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      376.1   225.5   173.5   248.8   264.5   351.4   395.8   421.8   440.4   464.8   499.1   556.1   702.8  2002.4  9709.7  29984.4    30000  1713346967133  1713346977293
read      373.6   222.5   173.5   247.5   263.2   348.6   393.2   419.1   437.3   462.6   496.9   553.4   700.7  1700.4  9961.4  29991.4    30005  1713346978802  1713346988942
read      374.6   244.2   173.5   248.1   263.8   349.7   393.9   419.6   437.8   462.6   496.8   551.2   691.9  2004.3 12373.3  29938.7    30010  1713346990450  1713347000564
read      373.6   224.5   173.5   245.0   261.0   347.2   392.9   419.6   438.8   464.5   500.0   557.7   703.2  2147.1  8793.4  29969.5    30015  1713347002073  1713347012182
read      370.8   204.7   173.5   245.6   261.5   346.5   391.1   416.9   435.3   460.8   494.8   547.9   688.8  1854.3  8718.2  29993.6    30020  1713347013689  1713347023808
read      374.8   218.6   173.5   246.1   262.2   349.2   394.0   420.4   439.5   464.7   499.9   557.2   731.8  1820.4  8138.7  30032.1    30025  1713347025316  1713347035435
read      377.3   229.9   173.5   247.8   263.8   351.7   396.8   423.5   442.9   467.1   502.4   560.7   719.7  2108.8  9055.5  30114.3    30030  1713347036945  1713347047060
read      377.9   227.2   173.5   245.4   261.7   349.5   395.9   423.4   443.7   468.6   505.4   568.3   773.1  2131.9  9478.8  30041.7    30035  1713347048569  1713347058684
read      371.4   213.6   173.5   244.3   260.4   346.5   391.5   417.2   435.3   460.3   494.4   549.8   694.0  2139.8  8970.9  29972.7    30040  1713347060190  1713347070302
read      374.7   190.9   173.5   246.2   262.2   349.6   395.3   422.0   441.3   466.2   502.9   563.9   725.6  1817.7  8431.8  30012.0    30045  1713347071812  1713347081927
read      372.0   205.1   187.4   248.8   264.1   347.9   391.8   417.0   435.1   459.5   492.1   546.2   691.5  1919.5  8382.3  30132.8    30050  1713347083436  1713347093546
read      368.1   235.1   173.5   243.6   259.7   344.1   388.0   413.4   432.4   457.0   490.6   545.6   684.1  1655.1 10796.3  30013.0    30055  1713347095056  1713347105179
read      376.8   228.7   173.5   244.4   260.8   350.1   396.0   422.9   442.6   467.5   503.8   565.7   748.4  2274.5  8772.6  30110.9    30060  1713347106691  1713347116811
read      377.9   221.0   173.5   246.0   262.4   351.8   397.8   425.4   446.0   470.8   507.3   567.5   729.7  2024.5  8735.4  30106.1    30065  1713347118320  1713347128433
read      380.8   241.3   187.4   248.6   264.7   353.1   398.7   426.0   446.5   470.8   507.4   570.6   754.0  2053.9 11600.4  30049.1    30070  1713347129944  1713347140059
read      379.6   236.3   173.5   246.9   263.2   352.2   398.0   425.1   445.4   470.2   506.6   569.9   741.9  2308.3 10387.1  30057.4    30075  1713347141568  1713347151690
read      372.9   221.6   173.5   248.2   263.9   348.6   392.7   418.7   437.2   462.1   495.2   548.7   688.8  1674.2  9734.5  30047.5    30080  1713347153203  1713347163314
read      375.7   228.3   187.4   248.2   264.0   351.0   396.1   422.6   441.7   465.9   500.4   556.7   698.0  1954.1 11052.9  30024.8    30085  1713347164821  1713347174938
read      378.9   229.3   173.5   249.3   265.4   353.3   397.8   424.4   443.9   467.9   502.7   562.2   726.4  2152.6  9725.8  30247.5    30090  1713347176448  1713347186563
read      381.1   252.7   173.5   249.2   265.8   355.6   400.4   427.0   447.0   470.6   506.6   565.5   707.2  2322.4 10768.6  30085.4    30095  1713347188074  1713347198194
read      381.5   209.3   187.4   251.7   267.6   355.9   400.8   428.2   448.9   473.1   509.4   572.1   723.8  2021.7  8515.2  30070.4    30100  1713347199703  1713347209822
read      373.0   242.2   173.5   246.0   261.8   344.8   390.2   417.2   436.6   462.2   496.3   551.4   735.7  2044.7 11275.1  30087.3    30105  1713347211331  1713347221443
read      377.5   224.6   173.5   247.2   263.2   350.0   395.9   423.1   443.2   468.3   504.3   564.4   738.7  2351.3  9804.0  30138.2    30110  1713347222952  1713347233071
read      376.2   246.5   173.5   246.7   262.9   351.6   396.8   423.4   442.9   467.3   502.7   559.4   710.0  1874.1 10758.2  30152.3    30115  1713347234580  1713347244695
read      378.5   230.2   173.5   248.8   264.8   352.3   397.1   423.9   443.7   468.5   505.2   565.9   714.8  2148.6 10235.5  30161.1    30120  1713347246207  1713347256322
read      376.0   302.9   173.5   247.1   263.2   349.4   393.9   420.0   438.5   463.6   497.9   554.3   691.6  2312.2 12621.3  30154.5    30125  1713347257832  1713347267951
read      373.6   210.8   173.5   247.9   263.7   349.3   394.0   420.4   439.2   464.1   498.3   552.4   687.8  1734.9 10472.9  30123.3    30130  1713347269459  1713347279571
read      373.5   209.7   173.5   244.2   260.7   349.1   394.5   421.1   440.2   465.7   501.3   559.4   702.7  1808.9  9675.8  30120.0    30135  1713347281082  1713347291203
read      373.6   280.6   173.5   243.7   260.2   347.7   392.5   418.3   436.5   461.6   495.3   549.4   703.0  2550.2 11436.3  30131.4    30140  1713347292712  1713347302825
read      374.8   238.4   173.5   247.6   263.8   350.6   394.5   420.2   438.3   462.8   496.0   549.1   691.5  2159.4 12219.8  30094.8    30145  1713347304337  1713347314457
read      371.4   206.0   173.5   239.7   256.9   347.3   393.0   419.2   437.4   462.6   497.3   555.0   719.8  1957.7  8478.7  30220.1    30150  1713347315964  1713347326085
read      371.8   229.2   173.5   244.0   260.4   346.8   391.7   417.6   436.1   460.9   494.2   548.1   690.6  2092.3  9304.0  30155.4    30155  1713347327593  1713347337707
read      373.5   206.7   173.5   245.9   262.2   350.1   394.3   420.3   438.8   463.4   497.1   550.7   704.1  1885.4  8746.5  30009.9    30160  1713347339217  1713347349337
read      374.8   212.9   173.5   244.8   261.3   349.3   394.5   420.8   439.8   464.5   499.3   557.1   722.9  2287.2  8305.1  30157.1    30165  1713347350848  1713347360961
read      363.2   183.3   173.5   240.4   256.6   340.9   384.3   409.3   429.0   453.3   485.6   539.8   674.1  1771.4  8059.5  30113.5    30170  1713347362470  1713347372582
read      372.7   214.6   173.5   244.1   260.6   349.4   393.7   419.4   437.5   462.2   495.6   549.9   715.2  1821.6 10483.6  30156.7    30175  1713347374090  1713347384207
read      371.5   204.9   173.5   245.1   261.4   347.3   392.0   418.3   437.0   462.3   496.0   551.1   689.1  1801.2  8553.0  30101.2    30180  1713347385717  1713347395837
read      378.2   228.7   173.5   244.7   261.4   351.5   397.5   424.6   444.7   469.4   505.5   568.4   758.9  2363.0  9366.2  30181.0    30185  1713347397347  1713347407460
read      389.7   249.1   173.5   246.2   263.1   356.3   404.3   433.8   457.4   486.5   528.3   600.5   896.4  2534.3  9680.1  30262.9    30190  1713347408969  1713347419083
read      384.6   257.0   173.5   248.9   265.2   355.9   401.7   429.2   450.1   474.6   510.1   575.0   778.4  2752.1 11567.0  30213.0    30195  1713347420592  1713347430700
read      382.4   246.1   173.5   246.6   263.2   353.0   399.3   427.3   448.7   474.1   512.5   576.6   772.1  2542.4 10915.3  30117.8    30200  1713347432207  1713347442325
read      376.4   267.1   173.5   242.0   259.0   349.6   395.5   422.5   442.3   467.2   502.5   562.2   731.4  2455.5 12603.4  30245.0    30205  1713347443835  1713347453966
read      375.4   228.0   173.5   244.5   261.1   349.8   395.4   422.2   441.6   466.6   501.8   560.5   713.2  2057.0 10746.1  30190.9    30210  1713347455476  1713347465592
read      374.6   248.2   173.5   244.5   261.2   349.6   394.3   420.3   438.7   463.3   497.2   551.2   694.8  2346.1 12643.2  30285.0    30215  1713347467102  1713347477222
read      380.2   231.9   187.4   251.2   267.0   354.2   399.0   425.8   445.7   469.3   504.2   563.9   714.0  2266.4  8838.2  30250.5    30220  1713347478731  1713347488846
read      384.3   240.9   173.5   249.7   266.2   355.6   400.8   428.2   449.2   474.1   511.9   577.3   786.7  2316.3 10391.2  30146.7    30225  1713347490359  1713347500479
read      384.6   244.6   173.5   250.4   267.1   357.4   402.2   429.8   451.0   475.7   511.4   573.8   744.9  2497.6  8755.2  30348.3    30230  1713347501991  1713347512111
read      376.1   227.9   173.5   245.7   261.8   346.8   392.8   420.4   440.7   466.7   503.5   565.7   756.7  2508.1  9328.7  30171.6    30235  1713347513622  1713347523732
read      374.9   209.1   187.4   246.8   263.3   351.6   396.0   422.2   441.3   465.3   498.9   552.5   689.5  1835.5  8620.5  30086.5    30240  1713347525241  1713347535354
read      376.2   238.5   173.5   244.1   260.7   350.0   395.8   422.5   441.8   466.6   502.2   561.7   722.9  2270.3 12117.3  30338.6    30245  1713347536861  1713347546972
read      372.2   222.5   173.5   243.7   260.2   347.3   393.0   419.4   437.9   463.3   497.7   553.5   690.2  2007.1  8527.2  30252.5    30250  1713347548482  1713347558599
read      370.1   215.0   173.5   246.8   262.7   346.6   390.5   416.2   434.8   459.6   492.1   544.3   674.2  1825.1 10535.2  30214.8    30255  1713347560108  1713347570220
read      371.4   225.9   173.5   244.9   261.2   347.8   392.5   418.4   436.6   461.3   494.5   547.4   676.1  2037.8 10009.7  30281.3    30260  1713347571728  1713347581853
read      370.6   204.3   173.5   243.9   260.0   344.3   389.5   416.2   435.8   462.1   497.6   556.7   713.5  1868.4  8765.4  30191.4    30265  1713347583362  1713347593482
read      373.6   232.4   173.5   245.4   261.7   347.8   392.7   418.8   437.1   462.3   496.5   552.5   705.4  2184.1 10201.9  30268.9    30270  1713347594992  1713347605104
