#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      374.1   244.6   173.5   242.7   259.7   348.8   393.8   420.2   439.0   464.4   499.2   555.2   702.4  2156.3 12023.2  29994.2    30000  1713344606550  1713344616752
read      369.8   243.4   173.5   242.4   258.7   345.1   389.8   415.7   434.7   460.0   493.6   547.5   679.9  2390.3 10524.0  30008.8    30005  1713344618260  1713344628410
read      373.1   262.4   173.5   240.6   257.1   345.5   391.3   417.8   436.7   463.2   498.6   556.3   730.8  2822.2 10942.3  29915.3    30010  1713344629920  1713344640036
read      375.7   218.0   173.5   246.1   262.5   350.8   395.6   422.0   441.1   466.3   501.4   559.8   707.8  2268.4  8665.3  29878.4    30015  1713344641545  1713344651662
read      375.2   257.3   173.5   243.9   260.6   349.1   394.1   420.5   439.6   464.8   499.7   556.6   720.1  1974.5 12116.8  30010.6    30020  1713344653171  1713344663280
read      373.4   237.8   173.5   244.3   261.0   349.1   393.6   419.5   437.9   463.0   496.9   550.3   685.8  2136.6  9074.6  29978.3    30025  1713344664790  1713344674901
read      371.2   260.2   173.5   244.0   260.4   346.5   390.6   415.7   433.8   458.4   491.3   544.1   665.8  2522.8 13166.1  30062.0    30030  1713344676409  1713344686523
read      372.1   235.2   173.5   243.3   259.7   346.1   390.9   417.0   435.8   461.3   495.5   549.8   706.8  2212.4  9137.4  30012.9    30035  1713344688031  1713344698143
read      379.2   273.3   173.5   244.5   261.7   350.6   396.0   423.7   444.3   469.4   505.7   566.2   737.2  3058.1 12845.0  30036.1    30040  1713344699653  1713344709764
read      385.8   253.1   173.5   247.4   264.6   358.0   404.0   432.3   454.2   480.5   518.1   580.8   747.5  2611.4 11854.1  30066.8    30045  1713344711273  1713344721385
read      382.8   279.0   173.5   245.4   262.3   354.5   400.4   428.1   449.4   474.9   512.2   574.2   751.6  2443.7 15128.3  30106.8    30050  1713344722895  1713344733014
read      372.4   219.9   173.5   240.8   257.5   346.1   392.1   419.0   438.2   464.3   500.3   559.8   731.1  2137.3  9228.8  30010.9    30055  1713344734526  1713344744638
read      374.1   233.4   173.5   243.8   260.6   348.4   393.2   419.8   439.1   464.8   499.8   556.3   719.6  2082.9 10160.7  30094.2    30060  1713344746146  1713344756266
read      381.6   282.3   187.4   246.5   262.8   350.5   396.6   424.7   445.9   471.4   508.1   571.4   776.0  3205.3 13423.3  30035.3    30065  1713344757777  1713344767893
read      375.2   250.0   173.5   245.6   261.7   346.3   391.7   418.8   438.6   464.4   499.4   554.9   736.0  2449.7 11730.9  30061.1    30070  1713344769402  1713344779513
read      381.6   267.1   187.4   252.4   267.9   354.7   399.0   426.0   446.2   470.0   504.8   561.1   718.5  2529.3 12580.3  30156.6    30075  1713344781021  1713344791135
read      374.6   248.9   173.5   244.2   260.7   348.1   393.9   420.6   439.9   465.0   499.8   555.0   715.5  2368.7 10230.1  30120.8    30080  1713344792642  1713344802751
read      374.0   251.3   173.5   246.0   262.0   347.5   392.2   418.7   437.7   463.8   499.3   554.5   700.4  2147.0 12498.3  30110.0    30085  1713344804260  1713344814372
read      378.7   236.9   173.5   246.6   263.0   352.1   397.2   424.5   444.9   469.9   506.2   566.5   729.6  2263.7 11296.5  29983.9    30090  1713344815882  1713344825990
read      377.3   258.0   173.5   247.5   263.4   351.0   395.6   421.8   440.8   465.7   499.6   551.7   715.4  2630.4 12550.6  29961.9    30095  1713344827498  1713344837608
read      376.5   235.5   173.5   245.2   261.4   349.5   395.9   423.5   444.0   469.4   506.4   565.3   719.0  2044.3 10782.8  30062.2    30100  1713344839116  1713344849229
read      378.9   236.3   173.5   248.1   264.1   352.0   397.6   425.2   445.8   470.5   507.0   567.3   724.7  2131.0  9823.7  30087.2    30105  1713344850739  1713344860853
read      374.0   224.2   173.5   245.7   261.8   347.6   393.0   419.9   439.5   465.6   501.1   558.8   713.2  1984.0 10896.1  30216.0    30110  1713344862363  1713344872479
read      382.2   246.1   173.5   248.1   264.6   354.5   400.3   428.3   449.8   475.1   511.1   572.5   747.4  2172.5 11825.9  30052.8    30115  1713344873991  1713344884101
read      378.9   236.8   173.5   246.7   263.0   350.3   396.3   424.3   445.6   471.5   508.6   569.7   746.0  2236.3 10227.4  30202.1    30120  1713344885611  1713344895725
read      379.2   242.3   173.5   246.7   263.0   350.4   396.3   424.1   445.1   470.5   508.1   569.9   737.8  2573.2  9484.9  30135.2    30125  1713344897234  1713344907350
read      375.8   237.5   173.5   245.4   261.6   348.5   394.3   421.6   441.8   467.8   504.2   562.6   729.8  2081.5 11169.6  30130.0    30130  1713344908863  1713344918977
read      376.4   238.1   173.5   247.3   263.6   350.8   395.1   421.4   440.4   465.1   499.4   553.7   693.6  2503.7 10619.6  30084.1    30135  1713344920484  1713344930602
read      374.7   243.9   173.5   244.8   261.0   347.6   393.6   421.1   441.4   466.6   501.5   555.9   703.2  2329.0 10565.1  30238.9    30140  1713344932111  1713344942230
read      378.8   230.6   173.5   245.5   262.0   351.9   398.6   426.7   448.0   473.3   509.6   570.6   733.3  1999.2 10448.0  30048.8    30145  1713344943738  1713344953854
read      372.0   247.3   173.5   245.1   261.0   345.7   391.3   418.1   437.1   463.6   499.3   553.4   682.9  1920.3 12431.0  30108.7    30150  1713344955363  1713344965484
read      373.5   214.7   173.5   242.9   259.4   347.5   394.1   421.6   441.9   468.0   504.3   562.7   702.3  2067.5  9975.4  30096.5    30155  1713344966995  1713344977112
read      378.8   253.4   173.5   243.7   260.5   349.8   396.8   425.0   446.4   472.1   508.9   570.5   750.0  2595.9 11631.9  30216.0    30160  1713344978620  1713344988731
read      424.4   461.1   173.5   245.6   262.4   359.2   413.0   447.7   474.2   509.4   561.7   667.0  1462.0  7579.3 15533.3  30114.4    30165  1713344990239  1713345000358
read      488.1   508.7   173.5   260.3   281.1   405.9   472.5   516.3   550.1   596.7   670.8   835.1  1987.4  7979.1 15911.2  30170.6    30170  1713345001870  1713345011991
read      424.5   475.2   187.4   252.8   270.4   372.3   424.5   456.5   480.8   510.5   551.1   624.2  1189.2  7358.4 18310.4  30170.3    30175  1713345013500  1713345023611
read      425.9   559.5   173.5   250.5   268.4   373.6   428.3   460.3   484.5   513.5   552.7   620.3   903.0 10810.4 19974.5  30149.9    30180  1713345025121  1713345035244
read      388.0   357.4   173.5   244.1   260.8   353.3   400.2   428.6   450.6   476.9   513.0   572.8   747.6  5945.9 15020.6  30199.2    30185  1713345036752  1713345046864
read      380.9   326.7   173.5   242.3   258.4   347.3   394.1   421.3   441.1   466.4   500.6   552.9   746.0  4939.0 13112.1  30100.8    30190  1713345048372  1713345058481
read      379.3   321.6   173.5   245.1   261.1   346.6   391.8   419.2   439.5   465.9   501.5   556.1   721.3  4298.2 11800.0  30130.2    30195  1713345059991  1713345070108
read      381.2   311.0   173.5   242.7   258.7   346.0   392.9   421.0   441.7   468.2   504.2   559.8   758.3  4579.9 11822.5  30237.9    30200  1713345071617  1713345081739
read      385.7   319.6   173.5   244.8   261.2   350.9   397.9   426.0   447.4   472.9   509.1   567.9   762.9  5209.3 12384.2  30113.5    30205  1713345083250  1713345093362
read      373.8   317.5   173.5   240.8   256.8   340.5   385.2   411.9   432.7   459.8   495.7   550.3   752.2  4120.2 13304.9  30246.9    30210  1713345094870  1713345104985
read      416.3   468.7   173.5   249.8   266.6   364.2   414.2   444.9   468.5   499.6   540.1   606.6  1126.3  8181.9 15545.2  30211.2    30215  1713345106493  1713345116608
read      389.6   299.3   187.4   246.3   263.1   356.1   403.7   433.1   456.1   484.2   524.2   589.3   857.0  2966.9 12799.6  30214.8    30220  1713345118117  1713345128236
read      375.9   236.6   173.5   246.2   262.6   349.5   394.6   422.0   442.3   467.9   504.1   560.9   702.7  2253.4 10602.8  30294.1    30225  1713345129744  1713345139859
read      375.9   226.4   173.5   245.3   261.9   349.8   394.7   421.7   441.9   467.7   504.0   562.5   713.4  1969.8  9628.8  30287.6    30230  1713345141368  1713345151483
read      375.8   243.7   173.5   243.2   259.9   348.6   394.5   422.3   442.9   468.8   505.5   564.1   711.6  2306.2 11276.7  30162.9    30235  1713345152991  1713345163105
read      378.3   243.6   173.5   247.4   263.5   351.2   397.2   424.9   445.9   471.2   507.4   565.4   706.8  2177.7 11192.1  30328.9    30240  1713345164613  1713345174729
read      377.8   252.4   173.5   246.0   262.5   350.9   396.4   423.8   444.3   469.6   505.2   561.3   702.5  2343.4 11555.4  30278.4    30245  1713345176240  1713345186356
read      367.4   199.6   173.5   243.2   259.4   343.2   388.4   415.2   435.0   461.8   497.2   549.1   669.9  1377.9  8713.7  30175.8    30250  1713345187866  1713345197982
read      376.4   254.9   187.4   244.9   261.1   347.9   392.9   419.8   439.6   466.2   502.8   559.5   721.9  2817.6 10240.6  30311.1    30255  1713345199489  1713345209606
read      374.0   245.9   173.5   244.6   261.0   348.4   393.1   419.4   438.2   463.9   498.0   550.0   705.3  2282.8 11473.0  30292.4    30260  1713345211116  1713345221227
read      372.6   252.6   173.5   241.3   258.1   347.1   392.7   419.3   438.4   464.5   499.3   552.0   681.1  2584.8 12195.3  30296.3    30265  1713345222736  1713345232851
read      374.2   243.0   173.5   245.2   261.6   348.7   393.5   420.4   440.1   466.0   500.6   554.4   692.8  1924.8 11761.3  30339.4    30270  1713345234360  1713345244471
read      399.8   320.2   173.5   249.9   265.9   358.7   407.6   438.0   462.8   493.5   535.3   610.3  1019.7  4279.8 15162.3  30304.7    30275  1713345245980  1713345256094
read      423.8   499.2   173.5   250.7   268.1   373.2   427.8   460.7   486.0   516.3   556.0   625.6  1000.0  8605.6 19555.4  30291.5    30280  1713345257601  1713345267715
read      434.8   633.8   173.5   253.0   270.0   375.4   429.3   462.1   487.5   518.1   558.3   625.9   968.6 10422.6 24717.4  30276.3    30285  1713345269225  1713345279350
read      407.9   320.3   173.5   249.8   267.9   375.8   429.7   461.3   485.0   512.4   548.5   607.9   794.5  4060.6 13874.2  30289.9    30290  1713345280859  1713345290970
read      397.8   344.7   187.4   249.2   265.9   363.8   413.8   442.6   464.8   492.6   528.6   585.1   786.3  4793.5 14836.4  30409.8    30295  1713345292478  1713345302589
read      391.7   309.1   173.5   246.1   262.9   359.1   407.9   436.4   459.0   485.7   521.5   579.1   782.6  4289.2 12655.8  30261.0    30300  1713345304097  1713345314207
read      367.7   324.4   173.5   240.0   255.4   332.9   373.5   399.6   420.9   447.4   484.5   541.8   708.1  5113.3 11946.7  30336.6    30305  1713345315715  1713345325832
read      380.5   347.9   173.5   244.2   260.2   344.4   389.3   416.4   436.6   463.7   499.8   555.0   731.7  5783.4 12530.0  30291.5    30310  1713345327340  1713345337454
read      382.3   351.6   173.5   242.3   258.5   347.6   394.6   422.3   443.0   468.6   504.5   561.1   752.3  4787.2 14799.5  30279.7    30315  1713345338963  1713345349076
read      397.2   452.4   173.5   244.4   260.7   351.9   398.6   427.3   449.6   476.7   514.3   576.7   901.6  7547.5 16709.1  30302.8    30320  1713345350586  1713345360700
read      380.0   260.0   173.5   245.2   261.9   351.9   398.0   426.0   447.3   472.6   509.0   569.4   743.6  2363.6 12617.5  30365.3    30325  1713345362211  1713345372333
