Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715030061800
Timestamp end: 1715030962335

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      353.1   441.2   160.7   217.3   234.7   334.0   363.0   378.0   389.8   401.5   421.3   453.6   619.8  4250.4 24851.1   7506.0     7434
read      403.3   424.7   148.8   203.2   216.7   333.0   405.8   454.6   491.6   536.0   593.8   703.5  1695.6  4690.3 11037.1  67188.4    67201
read      413.4   544.5   148.8   205.8   221.0   341.4   409.2   453.9   488.6   532.3   591.8   708.4  1717.9  7657.4 27447.6  85960.0    85927
read      366.0   257.9   148.8   200.8   213.6   326.8   394.9   436.8   469.5   508.7   557.9   632.3   850.0  1991.9 10509.9  63928.0    63953
read      377.9   377.3   148.8   200.8   214.1   329.8   414.4   462.7   494.2   527.3   565.8   624.4   850.4  3198.8 14467.6  31676.8    31595
read      396.8   546.5   137.8   202.7   216.5   330.5   395.7   437.2   470.8   512.9   569.3   670.8  1505.8  7259.3 28091.8  87860.3    87879
read      351.8   471.1   160.7   202.8   218.7   321.0   353.6   371.2   385.2   400.6   424.5   467.4  1215.4  4913.9 19645.7   7239.7     7287
read      406.2   538.5   148.8   202.0   215.0   331.9   406.6   456.4   493.9   538.6   596.4   700.3  1606.7  6399.5 30454.6  62235.1    62295
read      347.2   433.7   160.7   204.0   221.3   314.5   344.0   361.1   372.2   388.4   407.2   452.5  1272.3  6225.7 14768.3   6595.1     6561
read      529.3  1071.8   148.8   203.8   217.9   391.4   500.2   563.5   623.3   708.4   814.5   970.4  2847.8 14413.4 36036.0  22610.9    22532
read      411.1   487.5   148.8   202.9   216.2   333.4   409.3   460.8   499.6   545.4   607.2   728.8  1694.7  5909.7 20734.2  60691.2    60653
read      394.4   535.2   148.8   200.7   213.4   324.7   398.5   445.7   481.8   525.8   580.7   668.7  1460.2  6885.2 24805.8  59059.3    59076
read      391.8   362.6   148.8   202.3   215.0   329.0   404.0   454.1   491.7   535.8   590.7   683.4  1455.8  3978.9  9477.7  60202.2    60154
read      514.7   925.3   148.8   204.8   219.1   389.5   497.6   557.9   614.9   698.0   804.6   961.6  2496.2  9772.3 34471.6  23006.3    22964
read      373.0   728.8   160.7   203.2   218.3   330.7   368.8   390.4   404.8   426.7   456.0   507.0  1198.1  8459.3 38362.4   8157.5     8172
read      516.6   844.8   148.8   203.6   218.1   374.8   497.4   568.3   634.8   746.0   881.8  1063.8  2593.2 10484.1 32213.6  27739.3    27652
read      518.8   695.9   148.8   205.3   220.6   360.2   484.7   570.1   656.5   824.4  1001.8  1209.6  2097.5  7942.3 31367.7  37600.6    37594
read      514.4   804.2   148.8   204.0   217.9   389.3   507.4   578.7   648.2   744.0   852.8  1003.6  2447.0  8948.4 31554.4  24478.6    24367
read      502.3   722.0   148.8   202.7   216.7   356.0   479.1   557.4   633.7   780.9   942.2  1141.8  1823.6  7962.3 31700.8  33722.6    33771
read      420.4   641.6   148.8   203.8   218.4   338.1   408.0   454.2   490.2   534.8   594.8   716.1  1813.4  8235.9 30952.5  85018.6    84944
read      409.0   630.7   148.8   204.5   219.1   337.6   404.3   448.7   482.9   525.5   582.7   685.6  1508.5  8417.6 30977.1  85647.7    85666
read      387.1   478.1   148.8   197.6   210.3   325.5   402.0   450.0   484.9   525.8   576.9   658.0  1219.3  5795.4 19505.0  51915.4    51918
read      459.4   614.3   148.8   203.1   217.0   349.6   449.6   509.6   553.3   615.0   742.9  1028.2  1711.8  7150.8 29756.0  34414.2    34406
read      502.6   959.4   148.8   199.6   213.4   357.0   472.2   537.3   592.8   692.8   834.0  1016.6  2297.0 10732.7 35161.1  28726.7    28664
read      491.2   824.8   148.8   199.4   213.6   343.1   447.8   517.5   572.9   668.4   888.1  1142.2  1869.5 10821.5 32663.8  38410.0    38289
read      511.2   929.1   148.8   202.8   216.9   403.5   507.8   575.1   632.2   698.8   778.4   900.1  2148.9 10223.1 36255.6  20765.7    20658
read      419.3   799.2   160.7   195.0   207.7   348.5   407.8   438.8   462.4   493.5   543.1   646.8  1848.1 10414.6 35164.5  13904.5    13840
read      421.4   721.6   148.8   204.7   219.5   338.8   402.8   444.3   476.5   518.5   576.4   683.8  1719.3  8930.8 31445.8  93421.9    93419
read      398.9   543.7   148.8   205.1   220.1   336.5   398.5   437.8   469.6   509.3   565.6   668.8  1452.7  6478.7 29695.7  98255.7    98284
read      387.2   487.8   148.8   199.1   212.1   319.1   387.5   433.1   468.9   512.1   566.7   658.9  1565.0  5401.1 20418.8  71318.7    71313
read      512.0   780.9   148.8   204.2   219.2   345.1   453.9   534.9   606.0   769.7  1019.7  1259.6  2046.1  8943.7 31481.1  42216.4    42089
