#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,372.8,431.7,173.5,233.3,252.5,345.4,379.2,397.7,411.3,428.0,451.0,491.0,693.6,5674.5,15679.9,4939.0,5000,1713108627851,1713108633328
read,400.0,325.2,148.8,223.4,241.1,388.2,444.9,471.0,490.4,510.2,539.6,582.7,689.4,3220.6,15661.8,10019.4,10000,1713108634833,1713108640218
read,413.6,245.4,160.7,217.2,234.1,399.6,473.4,511.4,537.0,564.6,594.7,642.4,754.9,2081.6,8960.8,15090.0,15000,1713108641722,1713108647050
read,418.6,237.7,148.8,215.9,233.1,392.4,479.3,527.6,559.2,592.0,630.6,683.7,790.8,1812.6,8407.4,19879.6,20000,1713108648554,1713108653875
read,415.5,354.4,148.8,210.4,227.7,381.6,463.6,516.3,553.9,593.9,636.6,693.3,805.6,1739.1,15965.5,25011.4,25000,1713108655380,1713108660705
read,426.5,263.4,148.8,208.5,225.6,393.2,480.0,536.4,578.6,624.0,674.3,737.7,873.2,1701.1,11952.0,30016.0,30000,1713108662209,1713108667528
read,434.8,283.7,148.8,207.2,223.7,396.3,490.1,550.1,596.9,646.1,702.4,776.1,946.0,1546.0,9765.7,34983.4,35000,1713108669032,1713108674328
read,453.4,303.8,148.8,211.3,228.1,403.3,510.7,580.1,631.8,688.4,748.3,839.3,1064.4,1662.7,9320.5,39968.1,40000,1713108675831,1713108681126
read,431.3,268.4,148.8,209.8,225.6,376.5,478.1,543.5,596.9,657.6,725.1,815.3,1026.7,1360.4,6103.5,44988.8,45000,1713108682630,1713108687931
read,439.5,270.2,148.8,208.7,224.6,359.5,468.6,544.4,608.5,681.3,764.4,904.1,1245.4,1976.6,8122.2,50225.6,50000,1713108689435,1713108694746
read,445.1,296.8,137.8,206.5,222.8,356.8,463.7,542.1,607.5,684.5,778.0,947.5,1401.9,1893.1,8069.6,55001.4,55000,1713108696250,1713108701549
read,425.5,289.8,148.8,204.3,219.3,342.6,438.2,510.1,573.1,650.1,741.9,905.8,1315.8,1743.9,9025.0,59997.8,60000,1713108703052,1713108708348
read,433.0,313.1,148.8,206.1,221.6,333.2,420.3,490.8,559.5,658.2,782.8,1018.0,1504.6,1920.9,8702.4,65080.2,65000,1713108709852,1713108715145
read,421.8,302.8,148.8,203.4,218.1,325.0,404.1,467.9,535.3,635.4,764.1,1006.4,1495.4,1954.8,5982.4,70005.4,70000,1713108716649,1713108721944
read,440.6,334.6,148.8,206.1,222.6,337.9,420.3,486.4,558.3,664.3,797.3,1074.3,1561.6,2317.3,9081.4,74892.6,75000,1713108723449,1713108728748
read,429.3,346.3,148.8,206.6,222.3,322.1,392.4,446.4,508.7,631.1,800.8,1109.3,1597.8,2295.3,8753.9,80111.8,80000,1713108730252,1713108735544
read,511.3,563.8,148.8,217.3,235.1,334.0,395.8,456.6,538.7,723.6,1059.4,1553.4,2735.8,4393.0,14129.4,85091.8,85000,1713108737048,1713108742359
read,854.4,2548.0,148.8,276.5,304.4,377.4,403.2,422.5,435.2,459.4,502.1,2340.5,12508.4,32141.3,44352.6,85121.0,90000,1713108743862,1713108749164
read,865.2,2527.4,148.8,273.3,306.7,387.5,418.3,436.3,456.1,481.3,540.2,2314.5,12616.5,31850.6,40686.0,83891.7,95000,1713108750669,1713108755972
read,831.8,2582.9,148.8,278.3,300.8,361.9,388.2,403.1,419.2,436.5,471.8,1092.0,12665.3,31947.7,40948.0,88671.8,100000,1713108757475,1713108762770
read,847.1,2641.7,148.8,276.5,303.0,370.3,396.0,412.0,426.3,444.8,479.3,1194.8,12781.9,31995.0,43458.9,87085.8,105000,1713108764275,1713108769569
read,854.7,2640.7,148.8,280.1,308.8,375.0,399.0,415.4,428.7,447.8,481.5,871.1,12759.7,32041.1,40582.3,86094.6,110000,1713108771074,1713108776372
read,809.9,2404.7,148.8,267.4,289.8,359.7,387.0,402.8,420.6,444.4,505.5,2256.5,12293.9,31819.9,41411.3,89943.0,115000,1713108777876,1713108783165
read,830.2,2465.0,148.8,272.4,298.7,369.1,397.4,416.4,431.7,457.7,509.1,2067.6,12426.4,31821.7,43375.8,87719.7,120000,1713108784670,1713108789961
read,873.1,2712.4,148.8,275.3,309.6,382.7,409.0,427.0,439.5,460.8,494.9,691.1,12866.5,32075.8,40638.6,84490.6,125000,1713108791465,1713108796757
