#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      404.0  1037.3   160.7   229.6   246.7   345.7   379.6   397.5   410.5   426.7   448.0   484.9  1106.6 21537.0 32429.3   4946.0     5000  1713106323437  1713106329003
read      413.6   762.8   160.7   219.3   235.0   391.7   444.1   469.3   488.0   507.3   535.3   577.2   684.9  7640.0 31936.2   9952.6    10000  1713106330508  1713106335887
read      412.4   531.5   148.8   217.1   232.7   389.5   463.7   498.1   521.4   546.4   580.8   632.0   763.3  2170.9 30738.2  14895.8    15000  1713106337393  1713106342723
read      416.6   441.0   148.8   216.9   233.1   385.2   470.4   513.5   542.5   574.4   612.2   666.2   791.0  2489.8 28642.8  19879.4    20000  1713106344226  1713106349549
read      442.3   415.1   148.8   219.6   238.5   408.0   498.3   547.8   583.0   622.5   669.1   733.2   913.8  2054.0 28163.2  24999.4    25000  1713106351054  1713106356398
read      425.1   379.3   148.8   212.7   231.0   392.0   475.7   525.8   562.1   603.6   652.5   720.1   860.6  1669.4 24691.4  29894.8    30000  1713106357902  1713106363262
read      438.8   399.0   148.8   212.2   230.9   410.4   492.3   539.7   575.3   617.8   669.6   739.3   902.8  1736.3 24320.2  34969.8    35000  1713106364765  1713106370073
read      427.4   452.9   148.8   209.3   227.5   394.3   475.9   524.4   560.3   603.2   656.1   725.9   872.3  1416.6 28404.1  39941.8    40000  1713106371576  1713106376865
read      437.1   341.0   148.8   212.1   230.8   406.7   491.7   540.1   576.5   620.8   676.4   754.6   938.1  1362.5 13437.4  44952.2    45000  1713106378370  1713106383659
read      439.8   342.3   148.8   211.8   230.7   404.3   492.5   542.8   581.1   627.0   682.5   759.9   927.5  2482.1 11970.2  49906.9    50000  1713106385163  1713106390458
read      443.4   414.7   148.8   210.9   229.9   402.1   491.8   543.3   582.5   629.6   685.6   767.4   947.9  6258.3 12803.1  54942.4    55000  1713106391961  1713106397250
read      453.9   337.4   148.8   215.3   236.5   418.1   510.0   562.9   601.5   646.8   705.7   792.6   983.2  1820.0 13410.0  60086.8    60000  1713106398753  1713106404046
read      437.5   307.0   148.8   212.2   232.4   402.8   489.7   541.2   579.4   624.2   681.5   767.4   926.4  1243.7 14021.6  65089.8    65000  1713106405550  1713106410849
read      446.3   324.8   148.8   219.5   240.6   407.8   494.4   545.7   584.6   629.5   686.4   775.5  1009.4  1833.8 11146.2  69835.2    70000  1713106412352  1713106417647
read      448.9   343.1   148.8   220.0   243.2   414.8   500.1   550.5   588.2   630.7   683.5   764.1   946.9  1421.0 13688.6  75008.4    75000  1713106419151  1713106424442
read      484.4   296.9   148.8   235.8   265.9   447.6   538.0   591.6   631.0   677.1   735.6   833.8  1059.8  1640.5  9849.4  79943.8    80000  1713106425947  1713106431236
read      475.3   343.2   148.8   233.8   264.4   439.4   526.9   578.1   616.0   660.6   716.8   803.9  1005.3  1645.6 13636.1  85028.7    85000  1713106432741  1713106438028
read      713.0   396.7   160.7   413.4   446.8   594.1   854.1   938.2   980.1  1021.5  1069.4  1134.7  1263.6  2811.0 14014.3  87532.2    90000  1713106439532  1713106444836
read      776.6   466.2   160.7   478.1   510.2   627.7   944.0  1047.6  1091.2  1131.8  1171.5  1233.8  1345.1  3791.5 20476.5  84203.4    95000  1713106446340  1713106451635
read      765.6   401.5   160.7   484.7   514.7   616.7   915.5  1052.0  1095.3  1130.5  1164.7  1215.1  1293.5  2367.7 16181.3  85328.0   100000  1713106453139  1713106458434
read      753.7   468.4   173.5   471.1   500.9   611.1   873.6  1028.4  1070.9  1112.6  1152.3  1198.0  1292.1  2804.2 23142.7  86860.5   105000  1713106459937  1713106465247
read      745.5   438.8   173.5   457.4   486.2   604.4   901.4  1006.3  1047.4  1084.9  1128.7  1177.0  1275.1  3138.9 19828.3  87913.4   110000  1713106466752  1713106472038
read      790.5   493.5   160.7   487.6   521.0   640.0   876.9  1066.4  1120.6  1161.4  1207.8  1264.8  1381.1  3952.1 23953.9  83202.3   115000  1713106473542  1713106478836
read      813.1   493.4   160.7   513.1   545.3   665.8   812.4  1104.1  1157.3  1207.7  1254.1  1318.2  1429.6  3783.1 24107.6  80842.2   120000  1713106480340  1713106485623
read      777.1   483.2   173.5   484.4   516.1   630.7   879.9  1053.5  1105.7  1145.0  1184.3  1246.5  1352.1  3176.4 20442.7  84559.2   125000  1713106487127  1713106492422
