#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      375.7   451.8   173.5   236.7   256.9   349.0   381.5   398.9   411.9   427.3   448.2   485.7   688.8  6492.1 21335.3   4975.9     5000  1713107837089  1713107842511
read      392.0   312.8   160.7   221.8   238.3   382.3   434.5   459.6   476.7   498.3   525.7   568.1   676.0  2562.6 15063.1  10003.4    10000  1713107844016  1713107849381
read      407.3   262.4   160.7   219.4   235.7   394.4   464.7   498.6   521.8   546.9   579.3   626.1   736.4  2144.0 12514.2  15036.8    15000  1713107850886  1713107856221
read      410.3   267.3   160.7   211.5   229.0   386.6   473.8   516.8   546.1   577.9   615.6   669.0   773.4  1882.2  8143.1  19988.0    20000  1713107857724  1713107863055
read      425.7   305.8   148.8   213.7   232.4   393.5   483.2   532.6   566.6   603.7   646.6   706.8   845.0  2013.8 14259.4  24887.6    25000  1713107864559  1713107869883
read      426.3   301.4   160.7   212.6   231.2   394.5   479.7   529.7   566.2   608.1   656.5   720.7   852.3  1792.1 10021.5  29829.0    30000  1713107871387  1713107876709
read      435.4   262.6   148.8   212.1   231.0   404.1   489.7   540.1   577.7   622.3   675.5   745.4   920.1  1834.2  9706.6  34949.4    35000  1713107878213  1713107883514
read      436.7   224.0   148.8   214.5   233.1   408.5   493.8   542.6   579.7   624.4   678.8   750.8   912.0  1333.2  7792.3  40054.8    40000  1713107885017  1713107890319
read      432.6   266.5   148.8   212.5   230.7   402.0   487.9   538.0   575.5   621.1   676.8   749.9   908.3  1404.1  8211.4  44890.8    45000  1713107891822  1713107897118
read      419.4   211.1   148.8   208.1   225.5   388.9   471.7   520.6   555.5   599.4   657.2   735.0   890.0  1265.8  7937.7  50009.0    50000  1713107898622  1713107903920
read      437.1   214.1   148.8   210.3   229.7   404.4   494.4   546.6   586.0   633.4   690.3   772.6   927.3  1279.8  6132.9  54857.6    55000  1713107905424  1713107910723
read      432.5   255.8   137.8   209.0   228.3   397.7   484.2   536.0   575.2   622.1   680.8   766.2   941.5  1332.2  9389.5  60070.2    60000  1713107912227  1713107917531
read      425.2   219.6   148.8   210.2   229.0   389.5   477.1   530.4   569.8   616.3   672.9   748.5   897.5  1145.5  7569.0  65020.6    65000  1713107919035  1713107924337
read      447.3   217.9   148.8   217.5   239.1   413.0   502.6   554.9   594.7   641.2   699.2   785.1   961.5  1252.8  6978.2  69997.6    70000  1713107925842  1713107931136
read      449.4   229.5   148.8   221.0   244.3   415.1   500.7   553.2   592.8   638.7   693.8   777.1   942.5  1258.5  9143.8  74930.4    75000  1713107932641  1713107937945
read      450.4   238.7   148.8   221.0   246.4   415.8   502.1   554.2   592.3   637.1   691.8   776.8   954.8  1249.3  8786.5  80081.3    80000  1713107939450  1713107944752
read      596.6   307.6   148.8   284.7   332.4   537.0   654.2   740.5   805.2   874.6   947.0  1041.0  1194.8  1574.9 11140.7  84933.2    85000  1713107946256  1713107951554
read      733.8   589.8   148.8   422.4   461.2   617.5   871.9   966.8  1014.4  1059.1  1105.0  1171.7  1288.0  2130.4 17447.7  86098.2    90000  1713107953057  1713107958354
read      730.9   370.5   160.7   432.5   467.1   609.5   859.5   968.9  1019.1  1064.2  1113.2  1178.1  1307.2  2453.4 13605.9  87947.7    95000  1713107959858  1713107965156
read      750.4   364.1   173.5   451.8   485.4   616.8   904.6  1010.7  1051.4  1089.5  1135.2  1183.9  1312.3  2009.9 14749.0  86831.4   100000  1713107966659  1713107971965
read      764.4   384.3   160.7   462.3   495.2   628.3   913.0  1026.0  1067.4  1109.9  1156.5  1220.3  1348.0  3518.9 14845.8  85535.4   105000  1713107973468  1713107978769
read      791.8   390.9   173.5   441.3   484.2   682.6   816.1   960.7  1094.2  1199.5  1267.6  1345.9  1470.4  3790.3 13439.2  82803.8   110000  1713107980274  1713107985571
read      756.0   350.2   173.5   463.8   494.2   622.4   892.3  1024.3  1066.3  1109.0  1154.5  1213.8  1331.7  1913.7 12864.0  86493.0   115000  1713107987075  1713107992370
read      761.7   399.6   160.7   472.2   500.3   619.1   918.1  1033.2  1075.1  1116.8  1158.1  1214.2  1326.4  2815.5 16031.6  85918.7   120000  1713107993875  1713107999170
read      778.5   413.1   173.5   465.1   503.4   646.9   887.0  1030.1  1084.5  1135.9  1186.0  1261.6  1393.2  3092.0 17206.4  84107.8   125000  1713108000674  1713108005973
