#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,405.0,1126.8,173.5,229.6,247.1,346.8,379.7,397.4,410.2,425.9,445.8,481.3,693.8,28038.6,32376.9,4978.6,5000,1713106784017,1713106789420
read,407.3,742.0,148.8,220.5,236.4,381.3,434.3,460.1,477.5,498.0,523.6,561.3,660.2,7698.2,29859.6,9955.2,10000,1713106790923,1713106796292
read,438.4,607.3,160.7,216.1,231.9,412.5,486.3,522.4,545.7,575.6,613.2,674.6,1051.6,4427.3,30017.7,15046.8,15000,1713106797796,1713106803112
read,429.7,520.1,160.7,214.1,230.8,395.9,483.2,526.4,555.3,588.3,630.2,691.8,962.3,2519.0,30383.1,19997.2,20000,1713106804616,1713106809930
read,434.3,487.6,148.8,215.2,232.5,396.8,486.7,536.9,572.1,611.7,658.2,723.7,871.4,1969.0,28160.6,25009.2,25000,1713106811435,1713106816752
read,460.7,466.2,148.8,219.5,238.9,428.2,515.3,565.0,601.4,645.1,698.7,783.3,995.4,1846.7,28917.6,29955.8,30000,1713106818256,1713106823571
read,454.2,531.4,148.8,214.0,232.6,414.7,503.8,554.2,592.2,638.0,692.6,779.6,994.4,2188.0,29462.6,35057.6,35000,1713106825075,1713106830364
read,451.4,368.3,148.8,212.9,231.9,418.5,508.9,561.4,599.6,644.4,699.2,783.9,991.9,1546.1,16268.9,40002.2,40000,1713106831869,1713106837172
read,425.1,341.3,148.8,210.7,228.2,391.6,476.7,526.7,563.7,608.2,662.4,735.9,899.7,1255.2,24045.3,44837.0,45000,1713106838676,1713106843964
read,442.5,467.9,148.8,210.7,229.6,401.4,492.7,544.9,584.2,630.9,688.9,778.4,973.7,1369.8,29162.2,50191.8,50000,1713106845467,1713106850764
read,432.4,299.4,148.8,209.8,228.4,396.7,484.6,536.6,576.2,623.5,681.5,762.6,931.3,1278.5,8334.4,55001.8,55000,1713106852267,1713106857563
read,439.9,323.6,148.8,212.1,231.7,402.3,492.7,544.8,584.4,630.9,688.6,777.6,967.0,1356.1,11373.4,59966.8,60000,1713106859067,1713106864369
read,428.3,288.9,148.8,211.9,231.0,393.0,478.9,529.4,566.4,609.8,665.1,743.9,921.0,1395.0,12201.7,64927.4,65000,1713106865873,1713106871167
read,428.5,307.3,148.8,212.6,232.1,393.1,477.5,529.6,568.1,613.2,668.5,744.8,908.1,1186.7,12059.7,69895.8,70000,1713106872671,1713106877958
read,444.6,306.7,148.8,217.0,239.6,408.4,494.7,546.2,585.2,629.7,685.5,768.9,949.5,1444.4,11533.2,74730.6,75000,1713106879462,1713106884765
read,447.1,354.1,148.8,222.0,246.5,411.3,492.6,543.1,581.8,626.7,681.9,762.6,929.3,1247.5,23020.7,80000.4,80000,1713106886269,1713106891561
read,719.2,381.9,160.7,398.2,445.3,617.1,817.9,937.4,994.1,1048.8,1103.3,1174.0,1302.8,2139.6,14860.2,83835.6,85000,1713106893065,1713106898353
read,792.6,485.7,160.7,487.4,521.2,646.8,893.8,1061.1,1116.8,1160.5,1210.2,1270.0,1381.6,3840.8,24422.9,82274.8,90000,1713106899857,1713106905148
read,751.8,448.0,160.7,442.0,478.5,621.9,902.1,999.0,1044.3,1085.4,1132.6,1183.3,1307.0,2318.3,21059.9,86559.4,95000,1713106906652,1713106911956
read,777.1,472.3,173.5,471.8,505.2,635.4,923.3,1041.1,1088.6,1132.3,1174.7,1239.3,1352.8,2110.9,24486.5,84290.4,100000,1713106913460,1713106918753
read,729.6,431.1,148.8,423.0,457.8,607.0,884.9,961.9,1001.0,1041.7,1083.7,1147.5,1267.1,2526.8,20264.2,89490.6,105000,1713106920256,1713106925549
read,811.5,429.9,173.5,503.2,536.0,667.6,934.3,1094.1,1144.2,1192.1,1241.9,1302.2,1418.1,2192.7,15949.7,80659.6,110000,1713106927052,1713106932352
read,789.6,469.3,148.8,486.5,520.8,641.8,897.3,1064.4,1117.3,1159.4,1206.9,1266.6,1379.2,2496.1,22339.0,83080.6,115000,1713106933856,1713106939151
read,768.3,470.0,160.7,474.1,503.9,625.9,909.2,1037.4,1083.4,1126.3,1167.4,1228.2,1334.4,2552.4,22285.0,85323.9,120000,1713106940656,1713106945947
read,719.6,394.3,148.8,437.9,465.7,583.2,886.8,970.2,1007.5,1043.2,1078.3,1131.6,1239.4,2420.4,16316.5,90860.8,125000,1713106947450,1713106952735
