#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      383.7   498.7   160.7   237.2   259.8   352.9   385.1   401.1   414.8   430.4   453.7   493.4   762.2  5513.4 24401.2   4964.8     5000  1713108373465  1713108378906
read      386.5   301.8   160.7   219.0   235.6   376.2   429.0   454.8   471.0   490.7   511.5   549.6   645.3  3655.9 15073.4   9972.0    10000  1713108380412  1713108385791
read      411.9   374.8   148.8   217.3   233.4   390.0   464.3   500.1   524.4   550.0   583.5   631.3   747.9  3816.5 15970.6  14983.4    15000  1713108387296  1713108392622
read      425.5   295.6   148.8   213.6   231.5   397.6   488.6   536.9   569.0   603.2   640.4   693.8   807.3  1894.4 13955.6  19976.6    20000  1713108394125  1713108399446
read      436.8   216.2   148.8   212.1   230.2   405.0   499.2   554.2   592.3   633.6   682.7   747.3   908.8  1757.5  6654.2  25011.6    25000  1713108400949  1713108406275
read      431.1   213.1   148.8   207.2   223.9   395.3   489.5   548.7   592.4   638.9   692.1   764.2   927.1  1418.8  5688.8  29977.0    30000  1713108407779  1713108413088
read      431.5   293.7   148.8   205.9   222.0   383.7   478.2   542.0   591.4   645.6   707.5   791.7  1034.9  1818.6  9738.0  34849.8    35000  1713108414591  1713108419893
read      452.0   273.9   148.8   209.6   226.3   394.6   504.5   574.4   626.5   685.8   753.2   861.9  1143.9  1667.2  9256.3  40024.2    40000  1713108421398  1713108426692
read      457.6   318.5   148.8   210.8   227.3   385.8   499.3   575.3   632.9   700.2   779.5   910.6  1248.8  1758.6 11538.8  44846.4    45000  1713108428196  1713108433512
read      439.4   251.2   148.8   208.7   225.1   369.4   473.9   546.7   605.3   671.9   747.7   870.2  1232.9  1691.2  6370.4  49895.8    50000  1713108435017  1713108440325
read      439.5   316.4   148.8   207.2   222.6   346.6   447.6   523.8   592.2   675.8   777.9   966.6  1385.0  1861.3  9876.4  54907.8    55000  1713108441829  1713108447135
read      441.5   320.7   148.8   206.5   222.2   342.4   438.0   512.7   584.5   677.2   792.6  1006.4  1478.6  2152.0  9486.6  60058.6    60000  1713108448640  1713108453945
read      430.0   314.8   148.8   204.0   219.1   332.8   420.8   491.8   559.1   652.0   770.8   993.3  1482.9  2046.7  8940.2  65016.0    65000  1713108455449  1713108460757
read      447.9   327.7   148.8   207.7   224.3   342.5   427.9   499.2   577.7   685.3   825.4  1095.9  1538.5  2175.5  9080.6  70091.2    70000  1713108462262  1713108467563
read      428.5   287.4   148.8   203.5   219.9   337.0   423.3   492.2   558.3   648.5   761.7   979.2  1451.7  2028.4  6515.7  74944.6    75000  1713108469067  1713108474370
read      785.2  1936.5   148.8   235.2   264.6   381.0   419.8   443.7   465.2   500.7   645.1  3810.8  7831.4 31104.8 37700.5  79803.5    80000  1713108475874  1713108481179
read      711.4  1662.0   148.8   238.3   263.8   359.2   394.3   418.5   439.4   486.8   945.6  2874.4  7428.1 28837.0 37445.0  84572.7    85000  1713108482682  1713108487991
read      855.8  2662.4   148.8   278.0   309.0   377.1   400.2   415.8   427.6   442.3   469.2   624.2 12697.1 31929.4 40925.2  85331.4    90000  1713108489494  1713108494793
read      867.2  2631.5   148.8   272.8   305.8   379.3   406.6   426.6   440.9   465.0   509.7  1791.4 12707.1 32096.3 42154.7  84834.8    95000  1713108496295  1713108501595
read      858.6  2616.9   148.8   280.0   309.0   378.0   402.3   420.7   433.2   455.4   494.9  1509.0 12728.3 31970.3 39608.7  85548.4   100000  1713108503099  1713108508404
read      902.6  2615.6   148.8   263.9   311.1   402.8   435.1   457.9   473.4   501.5   552.5  2407.3 12707.2 31931.2 41497.4  81008.5   105000  1713108509907  1713108515222
read      865.9  2556.0   148.8   272.3   307.9   385.1   413.0   430.9   446.7   468.2   510.2  2283.0 12581.3 31937.7 39482.1  84457.9   110000  1713108516727  1713108522033
read      784.9  2218.8   148.8   266.8   288.0   355.2   384.3   403.1   424.5   458.0   562.5  2326.5 11863.5 31202.9 39520.4  91109.4   115000  1713108523537  1713108528838
read      875.9  2702.2   148.8   271.7   303.2   379.9   414.9   435.5   454.1   474.8   511.4  1212.6 12795.4 32311.7 40831.8  84498.6   120000  1713108530342  1713108535649
read      904.2  2731.6   148.8   268.4   313.9   397.6   427.0   445.0   460.7   481.0   518.4  1363.3 12782.6 32323.9 42629.9  81683.8   125000  1713108537154  1713108542461
