Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1714944014908
Timestamp end: 1714944915500

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      373.8   364.2   160.7   221.7   237.1   357.8   393.2   411.4   424.9   439.3   461.3   494.7   622.6  5608.2 15418.4   7413.6     7434
read      368.8   239.7   148.8   209.0   222.4   328.7   396.8   437.8   469.7   508.4   555.9   628.0   812.8  2222.2  8131.5  67140.2    67201
read      363.9   205.9   148.8   209.9   223.9   331.4   392.1   427.9   455.8   490.2   535.0   605.7   794.8  2297.1  6719.9  85994.4    85927
read      393.4   403.3   148.8   208.9   222.3   333.6   404.4   451.1   487.4   530.7   584.9   670.5  1318.9  4517.9 15289.1  63794.7    63953
read      448.6   690.4   160.7   206.6   219.7   348.8   464.2   523.4   562.4   608.9   677.5   834.6  1388.9  8270.5 31698.4  31569.1    31595
read      401.4   468.1   148.8   210.6   225.0   340.2   401.2   438.9   468.9   507.1   559.9   655.8  1623.0  6070.4 15643.6  87838.7    87879
read      397.1   723.2   160.7   219.8   236.3   353.1   388.5   406.4   421.8   437.4   462.1   502.2  1390.2  9059.1 31374.7   7294.2     7287
read      374.3   227.8   160.7   209.6   223.0   332.0   404.0   450.5   485.2   525.3   574.1   646.3   829.6  2172.6  8011.9  62165.1    62295
read      374.2   449.3   160.7   224.7   243.0   350.6   383.0   399.5   412.6   428.4   449.2   481.5   650.0  6655.9 19680.2   6611.6     6561
read      381.3   286.9   160.7   208.3   221.3   347.5   444.3   483.2   506.8   532.3   561.8   604.8   703.6  2283.5 14873.6  22514.6    22532
read      385.3   297.5   160.7   211.0   224.6   339.0   411.4   457.0   491.7   532.6   583.3   660.0   905.0  3143.4  9589.0  60486.6    60653
read      398.7   331.7   160.7   212.1   225.6   345.4   420.6   467.4   503.7   546.1   601.5   687.2  1200.7  3636.2 11179.9  59027.9    59076
read      396.7   276.0   160.7   213.1   226.7   347.3   422.6   468.1   503.3   545.2   599.6   684.8  1108.5  3231.2  8136.0  60068.0    60154
read      438.4   524.1   160.7   209.7   223.0   374.4   476.7   523.3   554.4   593.8   658.7   788.0  1172.4  6621.3 29472.3  22881.4    22964
read      410.6   619.2   160.7   219.0   234.4   366.3   411.2   436.2   455.5   476.7   506.4   557.2  1670.7  7906.4 27273.4   8070.3     8172
read      442.3   466.9   160.7   209.1   222.5   356.9   473.4   529.7   568.2   617.6   697.7   873.7  1361.4  4955.1 20100.7  27642.8    27652
read      411.0   366.3   160.7   212.0   225.6   352.2   446.7   501.3   538.5   579.7   628.6   702.9  1140.5  4322.6 10765.5  37501.7    37594
read      431.8   393.5   160.7   209.7   222.8   366.2   475.0   524.6   557.6   598.4   665.5   805.6  1225.8  4884.9 12086.3  24335.4    24367
read      401.7   297.3   160.7   210.9   224.2   345.1   441.6   496.4   531.9   569.4   613.6   681.0  1119.7  3426.6 10154.0  33736.0    33771
read      389.3   354.6   160.7   214.0   228.2   344.5   407.9   447.0   476.0   512.0   560.8   641.3   998.1  4315.0 10213.5  85080.8    84944
read      396.8   413.9   148.8   213.6   227.9   345.6   412.6   455.2   487.7   527.6   581.7   679.5  1047.1  4400.1 16918.0  85612.1    85666
read      422.0   552.5   160.7   213.0   226.6   346.2   426.8   477.6   515.8   560.1   616.8   708.5  1641.6  6841.9 25634.0  51869.7    51918
read      387.7   292.2   160.7   208.7   222.0   336.4   431.2   483.3   516.1   548.8   588.3   644.4   836.0  3741.0  9373.8  34383.7    34406
read      466.4   650.5   148.8   207.6   220.8   363.9   480.5   539.8   583.7   642.1   742.4   913.8  1620.9  8015.0 30806.5  28676.1    28664
read      527.0   900.9   160.7   210.1   224.0   356.9   474.6   549.7   609.4   699.5   884.1  1192.0  3394.8  8482.9 36164.9  38346.1    38289
read      492.6   809.6   160.7   208.4   222.5   400.7   500.4   556.4   602.8   663.2   733.1   841.6  2470.8  8038.2 37626.3  20654.5    20658
read      493.1   904.7   160.7   209.5   224.4   399.2   486.8   535.2   569.1   607.4   654.7   730.1  3027.2  9505.6 36750.5  13953.8    13840
read      428.4   633.8   160.7   217.5   232.8   359.4   424.2   464.7   496.8   537.0   592.7   700.6  1488.8  8753.5 30345.1  93321.6    93419
read      429.9   583.2   160.7   220.0   236.7   366.5   430.2   470.8   504.6   547.3   611.7   730.9  1363.4  8230.5 29725.7  98363.2    98284
read      411.4   578.9   160.7   210.9   224.6   341.7   410.7   454.6   488.3   529.3   583.5   676.6  1584.0  7566.8 29748.9  71297.5    71313
read      398.2   357.6   160.7   208.7   221.8   337.2   423.4   477.5   515.8   557.7   607.5   680.7  1153.7  4368.8 11825.9  42150.3    42089
read      402.4   333.3   160.7   210.7   224.3   346.4   431.2   484.0   522.9   567.0   619.7   694.6  1149.4  3459.0 11562.4  46539.7    46458
read      484.9   723.8   148.8   207.7   221.1   363.9   486.1   551.5   605.0   683.1   800.0   987.5  1847.3  7962.6 31818.0  30657.5    30755
read      413.6   508.3   160.7   209.0   222.5   341.2   429.0   484.7   524.2   567.7   619.8   702.9  1360.1  6156.3 20573.1  42811.3    42889
read      434.0   615.3   160.7   218.9   234.6   364.8   431.9   473.9   507.1   548.7   612.0   732.5  1571.9  8239.3 27624.6  93526.1    93552
read      401.7   469.2   148.8   210.4   223.9   338.1   410.0   456.0   491.1   533.8   588.7   681.0  1428.9  5055.6 16012.1  65707.5    65694
read      478.2   758.2   148.8   206.1   219.0   361.9   483.8   545.9   592.8   660.0   766.7   936.3  1872.1  7797.8 32232.8  29508.4    29574
read      406.3   475.5   148.8   209.3   222.6   338.8   418.5   469.4   508.2   553.1   608.9   688.2  1362.0  6108.5 22730.1  51321.1    51355
read      400.6   448.2   148.8   210.6   224.3   339.8   411.8   456.8   491.2   532.5   586.2   677.0  1372.7  5257.4 15714.3  67455.0    67361
read      490.1   877.4   160.7   207.9   221.9   396.4   485.6   536.4   574.3   618.7   673.0   752.0  2812.4 10575.8 34656.4  16263.9    16287
read      394.4   484.2   148.8   211.1   225.1   338.9   402.7   442.1   472.1   509.6   560.4   645.8  1090.5  6415.9 16182.7  81487.2    81508
read      364.4   267.5   160.7   209.0   222.7   329.4   389.7   425.3   453.0   486.9   531.7   603.7   804.3  2729.0  9793.9  87530.3    87619
read      361.2   207.9   148.8   212.1   226.5   334.2   389.4   421.7   446.1   475.8   517.1   583.7   755.1  1772.6  8127.8  99035.8    99068
read      394.5   420.0   148.8   208.0   221.1   333.1   412.1   463.4   502.5   546.2   598.9   676.3  1171.6  5002.4 15354.3  51199.5    51267
read      499.3  1185.9   160.7   206.6   220.5   385.6   464.2   505.2   532.3   562.3   599.0   663.7  3448.3 17835.4 37964.7  11887.5    11822
read      425.8   575.7   160.7   216.3   231.9   356.2   419.2   459.2   491.0   532.1   590.6   714.4  1666.8  7583.3 28045.8  97479.5    97494
read      408.9   595.0   148.8   214.3   229.5   346.5   405.5   443.7   472.8   510.1   562.6   654.1  1326.0  8667.2 28292.4  97341.1    97350
read      391.6   416.8   160.7   207.8   220.9   331.8   405.7   454.1   491.6   536.0   589.1   668.7  1252.0  4451.1 14748.2  55505.7    55460
read      410.1   632.5   160.7   211.8   226.2   342.8   405.3   445.2   474.7   511.5   563.1   655.1  1586.4  8213.9 30381.9  86014.3    85984
read      409.9   540.4   160.7   210.4   224.4   338.3   401.0   440.8   471.7   511.6   567.6   673.8  1799.0  6238.4 25889.0  81945.7    82043
read      399.6   385.8   160.7   209.5   223.0   340.3   420.0   469.6   507.6   551.2   607.1   688.1  1217.5  4482.3 11119.4  52843.7    52873
read      492.6   955.6   160.7   207.4   221.7   391.4   479.3   526.3   557.6   592.6   635.4   706.9  3268.2 12668.7 32291.8  13859.0    13911
read      405.4   408.8   160.7   207.4   220.5   330.9   411.0   466.4   507.9   555.1   613.7   717.5  1490.4  4703.7 12123.0  49972.3    49984
read      494.5  1340.3   160.7   207.9   222.8   375.1   439.1   471.3   494.7   520.5   550.7   609.6  3664.5 28917.1 42357.0   9235.1     9274
read      493.5   803.3   160.7   204.9   217.4   378.8   495.0   559.9   613.3   683.4   772.1   906.4  2447.6  8540.9 31710.8  27154.2    27187
read      507.4  1027.9   160.7   205.9   220.1   395.4   490.4   546.6   589.0   635.2   689.6   774.5  2988.1 14317.0 36572.3  18707.6    18735
read      427.0   498.7   160.7   215.9   230.9   351.6   417.5   459.6   493.5   536.4   597.8   739.2  1755.6  6391.7 15972.9  86479.9    86505
read      419.6   614.4   160.7   215.1   230.4   352.8   414.8   453.7   483.7   521.7   576.3   679.4  1603.3  8478.3 29174.9  93064.0    93039
read      412.1   523.1   160.7   211.5   225.6   340.0   406.2   450.0   484.2   527.0   584.7   691.3  1734.4  6477.1 21260.6  76067.1    75999
read      463.7   555.1   160.7   207.3   220.5   357.7   479.1   545.2   593.8   661.9   771.8   951.0  1523.9  6646.9 20279.9  32421.8    32324
read      428.8   582.8   148.8   214.4   229.0   350.5   415.8   458.0   491.2   532.5   590.0   716.6  1819.7  7144.2 25639.8  84467.8    84255
read      400.6   496.4   160.7   212.0   226.1   338.8   401.5   440.9   471.2   509.6   561.6   648.5  1573.0  6426.7 17626.6  81766.3    81759
read      399.6   322.1   160.7   209.7   222.9   340.0   435.8   493.1   530.7   570.1   615.4   681.6  1076.3  3492.0 11650.0  37468.0    37291
read      395.6   369.9   148.8   210.5   223.8   335.8   413.5   463.8   502.1   545.4   598.4   676.5  1193.3  4410.5 12621.5  53845.6    53818
read      481.4   741.6   160.7   207.4   220.8   367.7   491.5   556.2   606.2   676.0   776.9   932.4  1741.4  8435.5 31147.6  30285.5    30297
read      483.9   703.6   160.7   207.5   220.9   361.2   484.1   551.1   606.5   686.8   803.9   988.2  1956.0  8328.0 32107.4  31498.8    31569
read      477.7   721.8   148.8   211.9   226.1   359.8   462.6   523.9   566.9   619.3   699.1   952.3  2344.2  7636.3 31667.0  38791.3    38927
read      543.3  1354.5   160.7   212.3   227.7   392.4   470.6   512.2   539.6   571.6   613.6   709.1  4739.0 25841.5 38240.9  10698.9    10652
read      493.7   742.2   160.7   227.8   249.6   398.0   472.5   523.2   564.2   619.1   698.1   839.9  2025.8  9401.1 31608.9  98113.7    98119
read      410.0   487.6   148.8   211.0   224.4   341.7   425.9   479.1   518.2   562.5   616.9   697.6  1354.2  5456.3 20410.7  48345.6    48176
read      408.1   410.2   160.7   209.2   222.2   338.6   437.1   492.8   529.1   568.4   615.7   689.2  1261.8  5499.6 13231.7  34968.0    34929
read      379.3   361.3   160.7   209.5   223.0   330.7   395.6   436.2   469.4   509.1   559.8   635.6   984.4  3629.2 12980.1  69813.3    69735
read      379.3   276.5   160.7   208.6   221.9   355.4   443.3   477.3   498.3   521.0   545.8   585.3   669.9  3203.2 11539.8  20732.9    20753
read      345.2   169.0   148.8   207.5   220.7   318.5   374.8   406.7   432.0   463.7   505.4   568.6   691.5  1168.6  5733.1  84754.7    84642
read      370.4   213.8   148.8   206.4   219.5   327.9   410.7   463.4   499.1   536.0   577.3   632.7   743.6  1569.5  6958.4  42379.9    42333
read      357.3   186.5   148.8   207.1   220.6   323.0   390.1   430.5   462.7   501.7   545.3   602.6   705.0  1154.3  7654.3  61497.7    61587
read      347.3   161.2   160.7   207.2   220.2   319.0   377.8   411.9   438.0   471.3   515.2   578.1   693.7  1086.4  5890.7  78072.2    77998
read      345.2   161.0   148.8   209.6   223.1   320.5   373.2   403.0   427.1   456.4   495.5   555.5   701.6  1225.9  6484.4  97729.4    97625
read      376.7   664.4   160.7   206.6   219.7   336.3   431.8   468.4   490.5   513.1   539.6   578.2   652.0  2084.6 45694.7  23648.2    23781
read      346.0   172.8   160.7   205.9   218.7   314.6   374.6   411.7   441.0   478.4   523.3   580.4   680.3  1141.5  5992.9  66783.3    66723
read      368.7   221.5   148.8   206.1   219.0   322.8   421.6   472.1   501.9   531.7   565.1   611.6   692.5  1716.5  9782.5  31053.2    31016
read      363.3   213.5   160.7   205.9   219.0   322.9   397.1   446.9   483.4   521.9   563.8   618.9   717.9  1628.4  8465.0  47496.1    47394
read      336.3   155.6   148.8   206.8   219.9   312.6   364.7   394.1   416.6   444.6   483.1   541.5   664.3  1000.2  5687.0  95334.7    95335
read      359.0   428.5   160.7   228.3   247.9   334.6   362.4   377.0   389.5   402.1   422.3   454.3   592.7  6177.8 20330.0   5218.4     5252
read      347.9   160.9   160.7   206.2   219.1   316.6   376.7   414.0   443.9   481.5   527.5   586.9   690.0   995.3  6269.5  65807.8    65908
read      371.6   263.5   160.7   208.3   221.3   360.8   430.6   458.8   477.1   497.9   523.2   558.2   635.1  1883.7 10811.2  16958.2    16889
read      362.6   218.6   160.7   206.2   219.3   320.8   397.5   449.7   485.9   522.5   561.1   612.0   705.8  1552.2  9907.1  42831.3    42912
read      347.2   176.1   148.8   211.1   225.1   323.2   374.5   403.7   427.3   456.1   494.5   554.0   705.1  1186.2  7304.3  99661.9    99898
read      368.6   244.5   160.7   207.2   220.4   326.8   428.3   470.1   495.3   520.9   547.4   586.7   669.6  1806.8 10222.4  26362.2    26385
read      371.1   266.9   160.7   206.4   219.2   339.1   436.2   472.0   493.9   516.9   542.8   581.5   650.1  1805.0 12476.7  22672.0    22616

Total QPS = 51576.4 (46418744 / 900.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 11465429768 bytes :   12.1 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.97%,48.48%,100.00%
