#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      395.0   365.3   148.8   212.1   227.5   342.4   404.1   442.2   471.4   509.6   563.9   655.3  1521.3  4448.4 10707.1  88410.5    88455
read      405.5   453.8   160.7   209.8   225.1   338.2   402.3   444.9   479.2   524.6   586.0   703.9  1613.0  5547.6 14858.3  81222.7    81228
read      409.8   384.6   160.7   211.4   225.8   338.0   441.0   507.0   547.9   590.0   637.7   717.2  1130.2  4171.1 13540.3  40309.1    40418
read      389.4   472.5   160.7   210.9   225.6   333.3   391.5   426.8   455.0   490.9   539.9   622.5  1494.0  6285.7 14115.8  88103.8    88138
read      393.4   385.6   148.8   211.7   226.6   337.7   398.3   435.3   465.0   502.7   554.3   645.8  1596.9  4393.9 12908.4  88256.1    88403
read      394.0   492.5   160.7   210.1   224.7   336.5   399.9   438.6   469.5   508.7   562.0   644.2  1369.0  6272.6 18509.8  78331.0    78303
read      390.4   395.8   148.8   210.9   226.5   341.0   399.2   434.5   462.6   498.2   546.6   634.4  1504.4  4560.1 12902.9  97279.9    97285
read      380.6   365.9   148.8   210.6   225.6   336.3   393.9   428.2   455.0   488.7   535.7   615.9  1210.3  4416.6 14230.5  94131.2    94177
read      470.6   515.7   160.7   210.7   226.0   410.8   513.5   570.7   612.7   659.9   716.4   799.1  1227.8  6199.8 24408.6  20212.0    20188
read      411.5   635.3   160.7   212.4   227.6   344.2   404.1   440.4   468.6   505.4   557.2   646.0  1681.8  8536.7 30235.8  92291.9    92258
read      388.0   335.8   148.8   211.8   225.9   335.5   400.8   442.0   474.2   515.9   572.0   662.4  1412.5  2727.7 11733.3  73215.3    73208
read      386.5   310.1   148.8   210.9   224.5   329.6   401.2   451.8   493.4   542.4   599.6   674.8  1055.8  3634.1 10436.9  55498.4    55577
read      377.5   283.3   148.8   210.0   223.3   324.7   391.6   435.5   473.0   521.2   579.5   657.0  1131.2  3088.2  8434.0  61395.6    61432
read      485.7   605.3   160.7   209.3   224.0   406.5   523.9   587.8   640.0   700.3   769.9   869.5  1311.6  6339.9 30132.1  26879.3    26864
read      461.0   713.3   160.7   214.1   229.7   406.8   484.2   522.1   546.5   575.2   609.5   663.8  1908.6  9817.4 31115.0  10944.1    10972
read      386.8   380.1   160.7   210.6   224.3   324.7   393.6   441.3   481.9   531.0   587.8   664.5  1233.0  4613.4 11897.6  57541.6    57554
read      470.9   508.2   160.7   210.0   224.8   404.2   511.1   572.9   621.8   680.3   746.0   847.3  1179.4  5229.9 21465.4  23817.3    23772
read      400.3   525.1   148.8   214.8   229.9   344.9   403.3   438.4   465.9   500.7   547.0   628.3  1370.6  7101.9 27611.8  96791.5    96678
read      378.4   428.4   148.8   209.0   222.3   321.2   387.6   431.7   469.5   518.3   575.5   646.1   964.8  4434.6 18229.7  60217.1    60207
read      379.3   291.7   160.7   210.0   223.5   326.3   393.0   436.8   474.3   522.5   580.4   657.0  1090.6  3303.8  8720.6  62069.5    62020
read      398.7   458.6   148.8   208.7   222.1   328.6   418.4   480.4   522.3   565.5   613.9   678.8  1076.4  5790.7 15717.7  41293.7    41301
read      457.8   862.6   160.7   213.2   228.5   396.8   470.9   508.4   532.8   559.4   591.4   640.7  2020.5  9087.6 37134.7  10708.1    10690
