Random waveform, supplied seed
Total number of intervals = 84 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252)
Average QPS expected = 51998
Timestamp start: 1715724234932
Timestamp end: 1715725075456

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      349.7   408.6    86.8   164.7   191.1   325.6   367.4   391.6   408.5   429.8   458.1   504.5   675.6  7289.5 15310.7   7388.4     7434
read      371.7   266.6    74.4   140.6   161.4   334.1   423.5   476.2   515.5   561.5   619.0   704.3   921.6  2367.0  8849.6  67072.4    67201
read      372.2   259.8    74.4   142.8   165.6   335.0   419.1   469.0   507.2   553.4   614.5   707.9   925.5  2625.6  7994.0  86019.9    85927
read      367.8   244.0    80.4   139.9   160.0   332.2   422.0   473.6   512.6   557.6   613.0   692.3   894.1  2329.2  7081.2  63965.8    63953
read      408.6   561.6    74.4   134.0   153.4   327.2   437.8   501.5   544.1   593.2   662.2   831.9  1418.3  7924.7 26575.4  31534.7    31595
read      433.8   657.4    74.4   146.1   171.6   355.1   439.7   491.8   532.8   585.5   661.7   802.0  1863.6  8346.0 30680.5  87856.4    87879
read      353.7   472.1    86.8   159.6   186.7   320.7   363.0   388.1   405.8   428.1   458.2   510.3  1263.3  6479.9 21685.2   7274.6     7287
read      384.4   339.4    80.4   144.0   165.2   344.5   437.3   491.4   530.9   577.2   633.5   723.2   954.0  2574.8 13512.1  62225.7    62295
read      372.3   467.7    86.8   177.4   208.9   342.3   386.8   411.9   429.9   452.2   480.9   533.6   775.3  6556.7 19710.3   6552.1     6561
read      370.2   271.8    80.4   141.8   161.5   341.2   446.9   495.3   526.5   559.4   596.0   649.0   775.9  2005.0 12350.6  22498.7    22532
read      383.9   338.0    74.4   143.9   165.1   343.0   437.3   493.0   533.4   579.8   634.9   719.6   928.0  2803.3 10696.8  60719.1    60653
read      380.5   318.9    80.4   142.6   163.1   341.1   435.4   489.8   529.3   574.7   629.4   711.0   915.8  2767.9 11913.2  59242.8    59076
read      372.7   276.5    74.4   141.8   162.2   336.0   427.8   481.1   520.7   566.2   620.5   697.5   888.8  2130.3  9225.6  60142.9    60154
read      431.7   592.2    80.4   143.8   164.8   357.4   475.5   533.0   572.1   619.6   691.8   851.5  1348.0  7323.3 25862.8  22978.7    22964
read      372.0   585.0    86.8   156.1   182.6   334.2   385.3   414.1   434.0   458.7   491.4   547.1  1298.3  7679.1 30743.3   8131.2     8172
read      421.0   507.3    80.4   140.6   161.0   344.7   460.1   522.8   564.3   612.0   680.4   865.2  1469.7  5560.9 20782.4  27650.4    27652
read      388.6   321.2    80.4   139.0   158.5   340.7   439.7   498.2   539.5   585.5   638.7   728.4  1279.1  2845.0 11983.1  37698.7    37594
read      414.9   424.8    80.4   139.8   159.7   346.2   463.7   524.2   565.7   617.6   702.9   886.0  1273.1  4563.5 17055.2  24396.9    24367
read      390.2   419.8    74.4   139.4   159.0   340.1   439.0   497.4   537.6   581.2   632.8   717.9  1210.8  3918.2 11997.1  33880.8    33771
read      415.8   489.1    74.4   149.5   174.8   358.4   444.9   496.7   537.1   587.6   658.8   777.2  1333.8  5735.2 21246.3  84795.9    84944
read      409.7   538.9    80.4   148.1   172.4   352.3   436.5   487.9   528.0   578.5   645.4   758.5  1170.4  6497.4 29726.2  85751.5    85666
read      386.2   359.2    80.4   141.3   161.7   340.6   436.2   492.1   532.8   579.3   634.4   721.2  1048.8  3096.5 12367.9  52035.9    51918
read      401.5   567.2    80.4   136.5   156.2   335.4   436.7   498.9   540.7   585.6   639.4   733.3  1416.0  6681.9 29803.7  34535.1    34406
