#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      405.9   633.4   173.5   241.0   266.9   379.6   414.6   432.5   446.7   462.8   483.6   512.7   618.9  7536.8 36531.5   4998.8     5000
read      430.7   227.2   173.5   236.4   254.7   419.0   482.9   514.4   537.4   564.2   597.2   654.4   772.0  3017.0  8139.6   9995.6    10000
read      467.1   220.4   160.7   231.8   253.0   450.8   532.8   579.3   614.3   655.0   703.6   767.1   877.4  1279.4  7762.9  14993.0    15000
read      507.7   263.5   173.5   236.6   260.4   477.9   565.7   622.8   668.7   724.0   787.8   871.2  1065.4  3095.7  8561.5  20108.2    20000
read      539.4   391.7   160.7   236.7   263.4   499.1   595.1   657.5   710.6   774.0   851.1   960.7  1209.9  3014.4 18363.5  24873.6    25000
read      567.9   408.7   160.7   236.2   264.0   526.3   630.9   697.0   748.4   813.4   894.9  1017.9  1309.3  4311.2 15340.7  30170.2    30000
read      576.7   394.8   160.7   235.6   263.8   541.5   654.1   720.4   767.8   823.7   896.8  1007.9  1269.8  5029.3 13135.7  35020.2    35000
read      589.5   376.9   160.7   235.6   267.0   558.3   672.1   737.5   786.4   845.6   923.8  1037.1  1242.7  3847.0 15459.0  40038.6    40000
read      596.3   451.1   160.7   241.1   271.0   540.6   666.3   743.7   802.5   869.1   959.2  1094.6  1422.2  4021.1 20165.0  44871.6    45000
read      613.8   363.2   160.7   252.0   291.1   579.7   702.5   769.3   815.8   870.8   944.0  1065.8  1315.8  3436.5 12702.7  50009.6    50000
read     1303.9   824.6   218.6   927.0   965.4  1117.7  1180.9  1249.0  1361.2  1941.0  2092.0  2212.3  2426.9 12913.7 29805.1  51224.2    55000
