#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read     3621.2  2532.6   187.4  2111.8  2228.3  3455.3  3668.2  3784.4  3848.8  3913.3  3977.7  4042.1 15322.1 33057.3 49649.8   5026.4     5000
read     2596.7  1983.0   160.7   308.7   360.4  3398.0  3599.5  3670.8  3715.5  3760.1  3863.2  3983.1  5220.4 28123.4 34004.5  10035.4    10000
read     1812.4  1912.5   173.5   306.7   363.6   727.0  2947.9  3512.7  3588.0  3663.3  3738.6  3895.9  4068.6 25957.0 36532.3  14999.2    15000
read     1576.4  1721.3   173.5   318.6   378.8   788.4  1067.9  3295.9  3544.6  3651.8  3759.1  3970.2  5566.1 19757.2 32068.4  20054.0    20000
read     1484.3  1747.4   160.7   317.3   384.3   771.5  1005.3  1347.5  3503.7  3636.3  3768.8  4037.9  5472.2 20903.9 32783.0  25005.4    25000
read     2108.2  2609.9   173.5   478.0   613.4  1037.6  1508.1  2174.1  3895.5  4819.5  5016.3  5736.8  9483.6 31854.0 40188.3  29159.2    30000
read     2682.7  3334.8   202.4   888.1   951.9  1183.8  2078.0  4803.3  4929.6  5055.9  5517.9  6253.9 10476.0 35831.0 42322.2  27282.8    35000
read     2700.5  3349.8   236.1   886.8   952.9  1189.4  2108.5  4813.0  4937.4  5061.9  5560.2  6267.7 10603.9 36881.6 48802.4  27106.8    40000
read     2742.2  3527.4   202.4   897.8   962.5  1185.7  2070.6  4794.5  4930.6  5066.7  5673.2  8799.0 12754.0 35370.0 47578.2  26951.6    45000
read     2438.4  2879.9   202.4   823.9   881.4  1076.0  1883.9  4691.9  4875.4  5004.7  5219.2  5922.6  9876.9 32470.9 40375.2  29105.8    50000
read     2692.9  3379.8   202.4   900.4   960.0  1178.8  2057.4  4792.3  4925.6  5059.0  5583.7  6395.5 10517.9 32492.5 38841.8  27225.8    55000
