#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      388.2   291.1   173.5   241.8   262.8   370.6   407.5   427.3   440.7   458.0   477.9   508.7   615.5  4296.8  9051.0   5034.4     5000
read      440.0   246.0   173.5   234.9   254.8   433.7   497.5   529.4   550.0   577.9   611.1   660.8   772.3  3832.9  8101.8   9982.8    10000
read      478.0   266.2   160.7   234.6   257.9   458.2   541.7   587.2   621.3   661.6   712.2   781.6   915.6  3766.9  9314.5  15018.0    15000
read      516.1   289.3   173.5   241.1   266.9   490.9   576.8   630.5   676.6   731.8   793.1   870.2  1033.0  3043.6 10056.2  20072.6    20000
read      547.1   305.9   160.7   238.7   268.4   524.9   610.6   666.2   713.4   772.6   840.7   926.8  1087.0  3092.6 12067.5  24866.4    25000
read      574.1   364.5   160.7   241.7   271.1   542.1   643.2   707.9   756.2   814.0   886.6   993.3  1242.1  4000.9 12628.2  30024.4    30000
read      584.1   331.9   160.7   243.4   273.1   561.9   665.0   725.5   771.1   826.3   899.2  1005.2  1188.5  3840.0  9830.7  35112.0    35000
read      583.2   360.1   160.7   241.2   268.6   534.8   657.9   733.1   787.8   851.1   931.1  1066.7  1376.8  3804.2 12174.1  40202.4    40000
read      595.4   383.8   160.7   245.0   274.9   547.7   675.0   753.1   805.3   864.7   942.8  1069.5  1354.0  4566.7 10634.0  44852.0    45000
read      603.6   336.9   160.7   254.4   287.6   560.3   689.6   762.8   814.2   873.4   951.0  1072.2  1334.3  3246.4 11311.7  49846.2    50000
read     1222.8   697.8   173.5   822.2   889.8  1060.5  1132.3  1185.6  1361.8  1826.8  1980.8  2118.0  2323.3  8212.2 29246.7  53127.0    55000
