#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,440.4,584.2,187.4,244.2,268.9,400.2,447.4,471.4,490.3,509.5,538.1,585.8,1063.7,8057.6,25580.9,4995.2,5000
read,500.7,467.4,173.5,234.7,256.3,458.8,546.1,597.5,631.0,670.8,719.8,790.8,1068.0,7081.8,13961.9,9954.0,10000
read,556.2,484.6,173.5,237.8,262.2,499.1,612.4,682.5,731.3,786.5,851.2,942.6,1316.8,5401.1,20781.3,14955.2,15000
read,634.5,720.7,160.7,245.1,278.0,576.0,686.6,754.2,803.8,861.7,933.3,1041.3,1390.7,11909.3,31115.3,19883.2,20000
read,663.6,756.6,173.5,248.0,282.0,612.1,729.1,794.4,843.0,901.4,979.3,1092.5,1477.4,11605.5,31796.1,25066.6,25000
read,641.3,609.9,173.5,237.8,266.4,578.2,716.1,790.9,846.2,913.6,1003.9,1158.7,1643.1,8297.6,30305.4,29945.2,30000
read,681.6,776.6,173.5,241.2,270.9,590.9,748.2,833.0,893.3,968.9,1070.7,1238.8,1912.0,12411.6,31637.7,34927.6,35000
read,738.2,872.9,160.7,249.6,288.1,652.7,812.7,893.2,951.4,1019.3,1113.7,1273.4,2176.8,12714.6,31561.6,39974.8,40000
read,695.1,633.2,160.7,249.0,287.5,614.2,775.6,864.0,928.5,1001.6,1096.6,1281.0,1927.1,7639.6,28178.6,45097.8,45000
read,798.0,689.5,173.5,275.8,337.7,717.7,885.5,970.3,1031.8,1115.1,1257.4,1569.2,2095.7,8761.6,28836.7,50022.6,50000
read,1379.5,888.7,187.4,1020.0,1042.2,1174.1,1244.3,1282.3,1374.5,2058.4,2220.6,2347.5,2638.7,12880.0,31782.7,48774.4,55000
