#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      505.1  1372.6   173.5   253.1   278.3   395.2   443.4   470.0   489.9   510.6   540.7   592.4  3387.3 26975.5 43342.8   4976.0     5000
read      502.2   625.1   173.5   241.3   264.1   448.2   537.6   585.7   620.5   662.3   716.4   791.1  1013.8  7538.1 31082.1   9985.8    10000
read      556.9   568.7   173.5   241.3   265.4   491.3   603.6   680.3   736.2   795.8   866.3   970.6  1254.0  5275.1 28572.4  14915.2    15000
read      668.0   804.0   160.7   252.9   291.4   594.5   713.6   783.8   834.4   892.6   965.4  1078.3  1913.1 11240.2 31644.4  19877.4    20000
read      658.4   443.5   173.5   251.5   288.6   633.3   759.1   819.9   863.6   917.2   987.0  1094.9  1358.0  4746.4 17430.4  25086.2    25000
read      674.0   633.8   160.7   249.3   281.2   601.6   754.1   832.7   889.5   960.5  1053.2  1210.3  1748.2  8973.8 25287.9  29886.2    30000
read      716.5   695.1   173.5   252.5   289.6   649.8   811.2   888.1   940.5  1007.1  1094.8  1249.0  1989.8 11493.7 29170.1  35013.4    35000
read      693.2   573.0   160.7   256.1   291.3   609.5   773.1   863.4   931.7  1012.4  1120.6  1311.5  1882.2  7581.0 18288.2  39961.6    40000
read     1211.7   898.5   187.4   448.6   584.7  1142.4  1245.6  1306.8  1367.0  1506.4  2005.9  2328.5  2697.1 12731.5 31904.1  44810.8    45000
read     1509.6  1070.6   187.4  1105.6  1136.0  1284.3  1355.7  1397.9  1475.7  2172.5  2419.6  2558.5  2895.9 18621.8 34074.9  44969.0    50000
read     1503.7  1079.7   173.5  1106.5  1133.0  1269.6  1342.0  1381.2  1471.5  2217.5  2411.7  2540.4  2905.5 18414.2 33400.5  45202.4    55000
