#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,387.6,361.2,173.5,240.7,263.4,367.4,402.9,422.1,434.3,451.5,470.1,504.0,585.0,7585.9,10857.6,5051.8,5000
read,440.2,252.4,173.5,235.9,256.6,433.4,496.9,528.6,548.9,575.5,607.3,657.0,774.8,4763.7,9143.2,9985.6,10000
read,471.3,379.8,160.7,237.4,257.4,441.6,524.7,569.0,600.5,639.9,691.2,766.5,919.2,5182.7,12865.5,14841.8,15000
read,494.1,303.1,160.7,238.6,261.1,456.2,552.6,614.1,661.9,719.2,783.9,861.7,1012.4,1710.1,7989.7,19949.2,20000
read,537.2,325.9,160.7,240.3,269.1,511.1,597.2,655.2,702.5,760.2,827.8,913.2,1072.1,3290.9,12723.2,24818.2,25000
read,553.8,336.5,160.7,237.7,265.7,532.1,625.9,681.2,725.6,780.4,847.8,937.5,1095.4,3871.9,12603.0,29884.8,30000
read,567.6,329.3,160.7,240.4,268.1,547.6,649.4,708.5,752.9,805.8,872.0,968.6,1147.7,3890.0,9841.5,35083.4,35000
read,579.6,369.2,160.7,240.9,268.1,543.2,661.9,731.5,780.6,837.8,910.5,1016.4,1264.1,3248.3,15361.6,40062.9,40000
read,578.4,400.9,160.7,243.5,270.5,520.7,637.2,716.3,777.7,849.4,937.6,1083.1,1393.7,4036.0,14223.9,45015.0,45000
read,610.6,375.4,160.7,256.5,291.9,572.3,698.5,765.5,810.7,866.2,940.0,1056.2,1333.0,4083.3,12646.1,50098.4,50000
read,1256.2,770.6,173.5,887.4,935.3,1074.4,1143.9,1187.0,1316.6,1901.9,2025.6,2145.2,2342.7,12309.2,27835.3,52710.8,55000
