#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      352.9   200.4   148.8   215.8   230.1   329.3   386.1   417.1   438.3   462.1   491.6   536.3   653.4  1589.4  8432.2  30097.5    30185  1715445076264  1715445086387
read      350.6   207.0   160.7   213.5   228.2   327.7   386.3   416.8   436.8   460.1   488.1   530.5   639.9  1263.0  9098.1  30249.3    30190  1715445087898  1715445098023
read      352.0   215.4   160.7   214.6   229.0   328.2   385.7   417.1   438.3   462.2   491.1   533.5   639.9  1404.3  8491.2  30188.2    30195  1715445099534  1715445109658
read      351.3   229.8   160.7   213.8   228.3   327.3   384.7   415.5   436.0   459.4   487.7   530.6   637.6  1841.3  8520.6  30283.2    30200  1715445111170  1715445121290
read      351.7   211.9   148.8   214.0   228.4   328.9   386.0   416.8   437.3   461.2   490.0   532.6   639.5  1531.2  8861.7  30288.7    30205  1715445122798  1715445132914
read      351.7   221.9   148.8   214.6   228.9   327.7   383.6   414.2   435.1   459.2   488.3   532.9   655.7  1691.3  9102.8  30222.3    30210  1715445134429  1715445144552
read      357.0   234.5   160.7   218.1   233.1   331.8   388.7   419.4   440.0   463.4   492.4   536.1   662.1  2436.4  9321.7  30221.3    30215  1715445146062  1715445156195
read      352.6   237.7   148.8   213.9   229.0   328.7   384.9   415.8   436.5   460.5   489.3   532.4   640.8  2024.9 10644.8  30134.1    30220  1715445157702  1715445167817
read      351.8   226.2   160.7   215.0   229.4   328.8   384.0   414.2   434.7   458.4   486.7   529.1   637.7  2078.1 10492.8  30238.0    30225  1715445169325  1715445179441
read      349.5   223.8   148.8   210.7   225.6   325.5   382.6   413.8   434.9   459.5   489.1   533.9   641.3  1458.3  9303.0  30270.9    30230  1715445180949  1715445191068
read      351.0   178.3   148.8   215.0   229.3   329.4   386.7   417.4   437.6   461.2   489.6   532.1   642.6  1308.4  7987.8  30273.4    30235  1715445192579  1715445202695
read      348.9   214.2   148.8   213.2   227.7   326.8   382.0   411.6   432.0   455.1   482.4   524.5   635.2  1743.7  8576.5  30252.9    30240  1715445204205  1715445214323
read      348.7   218.6   160.7   213.6   227.9   326.3   383.3   413.8   434.1   457.0   483.8   523.5   621.4  1457.6  8719.6  30255.4    30245  1715445215831  1715445225950
read      351.7   223.1   148.8   213.6   228.1   327.9   384.8   415.7   436.4   460.3   489.3   532.6   642.0  1738.6  9323.1  30211.4    30250  1715445227461  1715445237578
read      352.3   209.4   148.8   213.5   228.1   329.0   386.5   417.1   437.4   460.9   489.7   533.0   649.0  1913.0  8233.1  30269.1    30255  1715445239087  1715445249207
read      350.2   220.3   148.8   212.9   227.3   326.4   383.0   414.1   435.3   459.1   487.7   530.7   638.7  1967.2  9905.8  30200.0    30260  1715445250716  1715445260830
read      348.8   227.9   160.7   213.1   227.2   323.7   377.9   408.9   430.5   455.2   484.7   529.3   650.6  2404.8  9230.8  30241.1    30265  1715445262338  1715445272461
read      351.2   217.9   148.8   212.7   227.3   328.3   386.1   417.2   437.8   461.6   490.0   531.9   634.5  1736.4  8702.2  30383.3    30270  1715445273969  1715445284080
read      350.1   218.6   160.7   215.9   229.6   328.4   384.6   414.4   434.4   457.5   484.8   524.9   626.6  1430.6 10357.0  30239.0    30275  1715445285590  1715445295707
read      347.5   212.8   160.7   210.7   225.2   322.0   375.9   407.3   430.5   456.2   487.0   534.6   678.8  1568.7  8641.3  30264.3    30280  1715445297217  1715445307338
read      352.9   217.5   148.8   211.4   226.5   328.3   384.2   415.7   437.1   462.6   494.0   541.1   677.9  1986.6  8928.4  30233.0    30285  1715445308849  1715445318967
read      351.7   221.6   148.8   210.9   225.8   327.3   385.1   416.3   437.3   461.7   491.5   536.9   658.9  1729.1 10026.6  30298.1    30290  1715445320476  1715445330587
read      350.8   231.0   148.8   212.5   227.1   326.9   383.8   414.9   436.0   460.1   489.4   533.5   642.1  1609.1 10593.4  30264.9    30295  1715445332095  1715445342212
read      348.4   188.5   148.8   211.5   226.1   325.2   382.0   413.5   434.6   459.2   488.6   533.2   649.5  1522.0  8102.3  30221.5    30300  1715445343721  1715445353848
read      351.3   220.4   148.8   211.0   225.7   327.2   385.9   417.1   437.8   461.9   491.1   535.7   657.6  1798.3  8778.9  30315.7    30305  1715445355358  1715445365475
read      352.4   210.7   160.7   213.0   227.6   329.6   387.4   418.2   438.9   462.7   492.0   536.1   650.1  1488.4  8371.9  30352.5    30310  1715445366983  1715445377103
read      348.9   220.8   160.7   212.6   227.0   324.3   379.8   410.6   431.9   456.5   485.8   529.7   647.1  1738.7  9843.8  30310.2    30315  1715445378611  1715445388731
read      349.3   209.3   148.8   212.2   226.8   326.0   383.2   413.9   434.6   458.5   486.9   529.6   642.3  1654.7  8356.3  30332.4    30320  1715445390240  1715445400357
read      350.9   209.1   160.7   213.3   227.8   326.9   383.9   415.5   436.4   460.4   489.7   533.8   641.7  1585.1  8586.1  30331.1    30325  1715445401866  1715445411985
read      352.5   228.2   160.7   213.6   228.3   328.9   385.3   415.7   436.3   460.1   489.3   533.3   640.3  2237.8  8293.0  30345.9    30330  1715445413494  1715445423610
read      343.3   205.4   148.8   211.0   225.3   318.7   372.6   403.9   426.5   451.6   481.4   526.5   634.6  1309.1  8524.7  30302.8    30335  1715445425119  1715445435228
read      351.4   211.2   148.8   213.6   228.4   327.6   384.2   415.5   436.6   460.9   490.3   533.6   645.1  1429.4  8674.8  30371.3    30340  1715445436737  1715445446856
read      351.0   223.0   160.7   213.3   227.9   326.9   383.5   414.0   434.3   458.0   486.3   529.0   639.5  2352.5  8925.7  30229.6    30345  1715445448367  1715445458487
read      354.8   228.7   148.8   218.3   233.4   330.4   386.1   416.8   437.8   461.6   490.5   533.6   647.1  1909.6 10207.1  30301.9    30350  1715445459998  1715445470119
read      348.5   189.0   148.8   211.2   226.0   326.4   384.2   415.3   436.1   459.7   488.2   531.5   636.4  1385.2  7967.1  30420.2    30355  1715445471628  1715445481743
read      348.4   185.8   148.8   213.4   228.0   325.7   381.8   412.6   433.2   456.9   485.2   528.2   638.8  1533.3  8053.7  30392.6    30360  1715445483252  1715445493370
read      351.8   248.9   148.8   212.7   227.3   327.2   384.3   415.4   436.1   460.5   489.8   533.5   640.2  2200.7  9298.6  30385.8    30365  1715445494878  1715445504996
read      345.6   221.8   160.7   211.8   225.8   320.2   375.3   406.1   427.7   451.6   479.9   523.4   633.6  2302.6  9591.3  30356.0    30370  1715445506507  1715445516621
read      350.4   217.6   148.8   212.8   227.3   327.0   383.1   414.0   434.9   459.0   488.3   533.1   643.7  1693.9 10210.7  30389.4    30375  1715445518129  1715445528243
read      351.5   241.0   148.8   209.9   224.8   325.0   382.6   414.7   436.6   461.1   491.4   537.8   662.8  2521.3  9256.5  30370.2    30380  1715445529752  1715445539876
read      349.2   182.9   148.8   210.3   225.1   325.7   384.1   415.9   437.5   462.0   491.9   536.6   647.8  1455.3  7776.7  30427.4    30385  1715445541386  1715445551512
